Date,PERMNO,TICKER,COMPANY NAME,WEIGHT
2021-01-01,66181,HD,HOME DEPOT INC,1.0
2021-01-01,68196,SEIC,S E I INVESTMENTS CO,1.0
2021-01-01,75342,MTH,MERITAGE HOMES CORP,1.0
2021-01-01,75510,ADBE,ADOBE INC,1.0
2021-01-01,76076,CSCO,CISCO SYSTEMS INC,1.0
2021-01-01,76095,HOLX,HOLOGIC INC,1.0
2021-01-01,76709,IDXX,I D E X X LABORATORIES INC,1.0
2021-01-01,76744,VRTX,VERTEX PHARMACEUTICALS INC,1.0
2021-01-01,77496,MHK,MOHAWK INDUSTRIES INC,1.0
2021-01-01,77520,AGCO,A G C O CORP,1.0
2021-01-01,77661,DHI,D R HORTON INC,1.0
2021-01-01,79103,ORLY,O REILLY AUTOMOTIVE INC NEW,1.0
2021-01-01,79637,UHS,UNIVERSAL HEALTH SERVICES INC,1.0
2021-01-01,79878,UFPI,U F P INDUSTRIES INC,1.0
2021-01-01,80128,VMI,VALMONT INDUSTRIES INC,1.0
2021-01-01,80575,SSD,SIMPSON MANUFACTURING CO INC,1.0
2021-01-01,80864,RS,RELIANCE STEEL & ALUMINUM CO,1.0
2021-01-01,81061,MCK,MCKESSON H B O C INC,1.0
2021-01-01,81220,NSIT,INSIGHT ENTERPRISES INC,1.0
2021-01-01,82547,AEIS,ADVANCED ENERGY INDUSTRIES INC,1.0
2021-01-01,83011,WSM,WILLIAMS SONOMA INC,1.0
2021-01-01,83111,ALXN,ALEXION PHARMACEUTICALS INC,1.0
2021-01-01,84172,NUS,NU SKIN ENTERPRISES INC,1.0
2021-01-01,84373,DGX,QUEST DIAGNOSTICS INC,1.0
2021-01-01,85427,GPI,GROUP 1 AUTOMOTIVE INC,1.0
2021-01-01,85621,MTD,METTLER TOLEDO INTERNATIONAL INC,1.0
2021-01-01,85792,PWR,QUANTA SERVICES INC,1.0
2021-01-01,85914,BBY,BEST BUY COMPANY INC,1.0
2021-01-01,86047,AMKR,AMKOR TECHNOLOGY INC,1.0
2021-01-01,86102,FHI,FEDERATED HERMES INC,1.0
2021-01-01,86778,MKSI,M K S INSTRUMENTS INC,1.0
2021-01-01,87055,COST,COSTCO WHOLESALE CORP NEW,1.0
2021-01-01,87432,A,AGILENT TECHNOLOGIES INC,1.0
2021-01-01,88031,MNST,MONSTER BEVERAGE CORP NEW,1.0
2021-01-01,89394,OSTK,OVERSTOCK COM INC DEL,1.0
2021-01-01,89753,FORM,FORMFACTOR INC,1.0
2021-01-01,89866,LKQ,L K Q CORP,1.0
2021-01-01,89916,NXST,NEXSTAR MEDIA GROUP INC,1.0
2021-01-01,89946,AEL,AMERICAN EQUITY INVT LIFE HLDG C,1.0
2021-01-01,89971,TPX,TEMPUR SEALY INTERNATIONAL INC,1.0
2021-01-01,90037,HTH,HILLTOP HOLDINGS INC,1.0
2021-01-01,91277,QRTEA,QURATE RETAIL INC,1.0
2021-01-01,91658,AIMC,ALTRA INDUSTRIAL MOTION CORP,1.0
2021-01-01,92602,PM,PHILIP MORRIS INTERNATIONAL INC,1.0
2021-01-01,92655,UNH,UNITEDHEALTH GROUP INC,1.0
2021-01-01,93035,SEM,SELECT MEDICAL HOLDINGS CORP,1.0
2021-01-01,93096,DG,DOLLAR GENERAL CORP NEW,1.0
2021-01-01,93312,SSNC,S S & C TECHNOLOGIES HLDGS INC,1.0
2021-01-01,93330,PRI,PRIMERICA INC,1.0
2021-01-01,93374,FAF,FIRST AMERICAN FINL CORP NEW,1.0
2021-01-01,90708,MORN,MORNINGSTAR INC,0.537163
2021-01-01,47941,TGNA,TEGNA INC,0.454671
2021-01-01,21371,CAH,CARDINAL HEALTH INC,0.008166
2021-01-01,15847,KURA,KURA ONCOLOGY INC,-0.008166
2021-01-01,71475,AWR,AMERICAN STATES WATER CO,-0.454671
2021-01-01,16816,BHF,BRIGHTHOUSE FINANCIAL INC,-0.537163
2021-01-01,10026,JJSF,J & J SNACK FOODS CORP,-1.0
2021-01-01,12089,RP,REALPAGE INC,-1.0
2021-01-01,12639,CSOD,CORNERSTONE ONDEMAND INC,-1.0
2021-01-01,12872,MPC,MARATHON PETROLEUM CORP,-1.0
2021-01-01,13262,CCXI,CHEMOCENTRYX INC,-1.0
2021-01-01,13323,ENPH,ENPHASE ENERGY INC,-1.0
2021-01-01,13356,PSX,PHILLIPS 66,-1.0
2021-01-01,13379,SPLK,SPLUNK INC,-1.0
2021-01-01,13511,PANW,PALO ALTO NETWORKS INC,-1.0
2021-01-01,13527,FIVE,FIVE BELOW INC,-1.0
2021-01-01,13610,OLN,OLIN CORP,-1.0
2021-01-01,13688,PCG,P G & E CORP,-1.0
2021-01-01,13704,NEO,NEOGENOMICS INC,-1.0
2021-01-01,13739,BFAM,BRIGHT HORIZONS FAM SOL INC NEW,-1.0
2021-01-01,13962,NSTG,NANOSTRING TECHNOLOGIES INC,-1.0
2021-01-01,13967,PTCT,P T C THERAPEUTICS INC,-1.0
2021-01-01,14044,AGIO,AGIOS PHARMACEUTICALS INC,-1.0
2021-01-01,14054,MRTX,MIRATI THERAPEUTICS INC,-1.0
2021-01-01,14136,RNG,RINGCENTRAL INC,-1.0
2021-01-01,14176,XLRN,ACCELERON PHARMA INC,-1.0
2021-01-01,14182,BURL,BURLINGTON STORES INC,-1.0
2021-01-01,14263,VCYT,VERACYTE INC,-1.0
2021-01-01,14295,TWTR,TWITTER INC,-1.0
2021-01-01,14325,TNDM,TANDEM DIABETES CARE INC,-1.0
2021-01-01,14329,ARMK,ARAMARK,-1.0
2021-01-01,14338,HLT,HILTON WORLDWIDE HOLDINGS INC,-1.0
2021-01-01,14359,XNCR,XENCOR INC,-1.0
2021-01-01,14432,ITCI,INTRA CELLULAR THERAPIES INC,-1.0
2021-01-01,14436,RARE,ULTRAGENYX PHARMACEUTICALS INC,-1.0
2021-01-01,14472,VRNS,VARONIS SYSTEMS INC,-1.0
2021-01-01,14596,FIVN,FIVE 9 INC,-1.0
2021-01-01,14634,PE,PARSLEY ENERGY INC,-1.0
2021-01-01,14641,ZEN,ZENDESK INC,-1.0
2021-01-01,14782,TRUP,TRUPANION INC,-1.0
2021-01-01,14797,CDNA,CAREDX INC,-1.0
2021-01-01,14811,FWONK,LIBERTY MEDIA CORP 3RD NEW,-1.0
2021-01-01,14882,CZR,CAESARS ENTERTAINMENT INC DE,-1.0
2021-01-01,14988,LBRDK,LIBERTY BROADBAND CORP,-1.0
2021-01-01,15046,NVRO,NEVRO CORP,-1.0
2021-01-01,15065,FGEN,FIBROGEN INC,-1.0
2021-01-01,15108,NEWR,NEW RELIC INC,-1.0
2021-01-01,15272,SEDG,SOLAREDGE TECHNOLOGIES INC,-1.0
2021-01-01,15431,MCRB,SERES THERAPEUTICS INC,-1.0
2021-01-01,15534,NTRA,NATERA INC,-1.0
2021-01-01,15627,PLNT,PLANET FITNESS INC,-1.0
2021-01-01,15729,PSTG,PURE STORAGE INC,-1.0
2021-01-01,16140,TWLO,TWILIO INC,-1.0
2021-01-01,16284,SMPL,SIMPLY GOOD FOODS CO,-1.0
2021-01-01,16381,BL,BLACKLINE INC,-1.0
2021-01-01,16382,COUP,COUPA SOFTWARE INC,-1.0
2021-01-01,16595,SNAP,SNAP INC,-1.0
2021-01-01,16597,AYX,ALTERYX INC,-1.0
2021-01-01,16649,OKTA,OKTA INC,-1.0
2021-01-01,16924,DCPH,DECIPHERA PHARMACEUTICALS INC,-1.0
2021-01-01,17036,CNNE,CANNAE HOLDINGS INC,-1.0
2021-01-01,17125,DNLI,DENALI THERAPEUTICS INC,-1.0
2021-01-01,18649,BCO,BRINKS CO,-1.0
2021-01-01,19561,BA,BOEING CO,-1.0
2021-01-01,23026,FE,FIRSTENERGY CORP,-1.0
2021-01-01,24328,EQT,E Q T CORP,-1.0
2021-01-01,26403,DIS,DISNEY WALT CO,-1.0
2021-01-01,28484,HES,HESS CORP,-1.0
2021-01-01,28804,ALK,ALASKA AIRGROUP INC,-1.0
2021-01-01,32870,HRL,HORMEL FOODS CORP,-1.0
2021-01-01,52898,WTRG,ESSENTIAL UTILITIES INC,-1.0
2021-01-01,58683,LUV,SOUTHWEST AIRLINES CO,-1.0
2021-01-01,75186,SCHW,SCHWAB CHARLES CORP NEW,-1.0
2021-01-01,76128,VICR,VICOR CORP,-1.0
2021-01-01,76661,IONS,IONIS PHARMACEUTICALS INC,-1.0
2021-01-01,77702,SBUX,STARBUCKS CORP,-1.0
2021-01-01,79839,ITRI,ITRON INC,-1.0
2021-01-01,80069,ARWR,ARROWHEAD PHARMACEUTICALS INC,-1.0
2021-01-01,80191,ALB,ALBEMARLE CORP,-1.0
2021-01-01,82670,TGTX,T G THERAPEUTICS INC,-1.0
2021-01-01,82759,NUAN,NUANCE COMMUNICATIONS INC,-1.0
2021-01-01,83779,PEGA,PEGASYSTEMS INC,-1.0
2021-01-01,86799,CNX,C N X RESOURCES CORP,-1.0
2021-01-01,86949,SKX,SKECHERS U S A INC,-1.0
2021-01-01,87430,KTOS,KRATOS DEFENSE & SECUR SOLS INC,-1.0
2021-01-01,88421,ARNA,ARENA PHARMACEUTICALS INC,-1.0
2021-01-01,88863,EXAS,EXACT SCIENCES CORP,-1.0
2021-01-01,89031,AAXN,AXON ENTERPRISE INC,-1.0
2021-01-01,89353,JBLU,JETBLUE AIRWAYS CORP,-1.0
2021-01-01,89922,XPER,XPERI HOLDING CORP,-1.0
2021-01-01,90178,ALNY,ALNYLAM PHARMACEUTICALS INC,-1.0
2021-01-01,90188,NUVA,NUVASIVE INC,-1.0
2021-01-01,90427,TXRH,TEXAS ROADHOUSE INC,-1.0
2021-01-01,90444,ORA,ORMAT TECHNOLOGIES INC,-1.0
2021-01-01,90505,LVS,LAS VEGAS SANDS CORP,-1.0
2021-01-01,90856,ATRC,ATRICURE INC,-1.0
2021-01-01,91041,LYV,LIVE NATION ENTERTAINMENT INC,-1.0
2021-01-01,91103,UAL,UNITED AIRLINES HOLDINGS INC,-1.0
2021-01-01,91152,TDG,TRANSDIGM GROUP INC,-1.0
2021-01-01,91237,VG,VONAGE HOLDINGS CORP,-1.0
2021-01-01,91594,SPR,SPIRIT AEROSYSTEMS HOLDINGS INC,-1.0
2021-01-01,91659,ALGT,ALLEGIANT TRAVEL CO,-1.0
2021-01-01,91926,DAL,DELTA AIR LINES INC,-1.0
2021-01-01,93150,CIT,C I T GROUP INC NEW,-1.0
2021-01-01,93289,MXL,MAXLINEAR INC,-1.0
2021-02-01,10107,MSFT,MICROSOFT CORP,1.0
2021-02-01,10874,BC,BRUNSWICK CORP,1.0
2021-02-01,11809,CLH,CLEAN HARBORS INC,1.0
2021-02-01,12062,LH,LABORATORY CORP AMERICA HLDGS,1.0
2021-02-01,12476,TRGP,TARGA RESOURCES CORP,1.0
2021-02-01,12981,FBHS,FORTUNE BRANDS HOME & SECUR INC,1.0
2021-02-01,13046,UI,UBIQUITI INC,1.0
2021-02-01,13407,FB,FACEBOOK INC,1.0
2021-02-01,13837,EVTC,EVERTEC INC,1.0
2021-02-01,13901,MO,ALTRIA GROUP INC,1.0
2021-02-01,14008,AMGN,AMGEN INC,1.0
2021-02-01,14593,AAPL,APPLE INC,1.0
2021-02-01,14696,MIK,MICHAELS COMPANIES INC,1.0
2021-02-01,14702,AMAT,APPLIED MATERIALS INC,1.0
2021-02-01,14795,TKR,TIMKEN CO,1.0
2021-02-01,15579,TXN,TEXAS INSTRUMENTS INC,1.0
2021-02-01,15647,FLOW,S P X FLOW INC,1.0
2021-02-01,16119,ATKR,ATKORE INTERNATIONAL GROUP INC,1.0
2021-02-01,16736,VST,VISTRA CORP,1.0
2021-02-01,17929,UGI,U G I CORP NEW,1.0
2021-02-01,20482,ABT,ABBOTT LABORATORIES,1.0
2021-02-01,22111,JNJ,JOHNSON & JOHNSON,1.0
2021-02-01,25953,DOV,DOVER CORP,1.0
2021-02-01,29209,ARW,ARROW ELECTRONICS INC,1.0
2021-02-01,34032,MAS,MASCO CORP,1.0
2021-02-01,35124,CLGX,CORELOGIC INC,1.0
2021-02-01,49154,TGT,TARGET CORP,1.0
2021-02-01,49680,DHR,DANAHER CORP,1.0
2021-02-01,56223,LPX,LOUISIANA PACIFIC CORP,1.0
2021-02-01,57904,AFL,AFLAC INC,1.0
2021-02-01,58771,RBC,REGAL BELOIT CORP,1.0
2021-02-01,61313,DCI,DONALDSON INC,1.0
2021-02-01,62092,TMO,THERMO FISHER SCIENTIFIC INC,1.0
2021-02-01,62498,WST,WEST PHARMACEUTICAL SERVICES INC,1.0
2021-02-01,64194,CHE,CHEMED CORP NEW,1.0
2021-02-01,65307,RPM,R P M INTERNATIONAL INC,1.0
2021-02-01,66181,HD,HOME DEPOT INC,1.0
2021-02-01,76076,CSCO,CISCO SYSTEMS INC,1.0
2021-02-01,76095,HOLX,HOLOGIC INC,1.0
2021-02-01,76709,IDXX,I D E X X LABORATORIES INC,1.0
2021-02-01,76744,VRTX,VERTEX PHARMACEUTICALS INC,1.0
2021-02-01,77496,MHK,MOHAWK INDUSTRIES INC,1.0
2021-02-01,77520,AGCO,A G C O CORP,1.0
2021-02-01,77661,DHI,D R HORTON INC,1.0
2021-02-01,79637,UHS,UNIVERSAL HEALTH SERVICES INC,1.0
2021-02-01,79878,UFPI,U F P INDUSTRIES INC,1.0
2021-02-01,80128,VMI,VALMONT INDUSTRIES INC,1.0
2021-02-01,81061,MCK,MCKESSON H B O C INC,1.0
2021-02-01,81220,NSIT,INSIGHT ENTERPRISES INC,1.0
2021-02-01,83011,WSM,WILLIAMS SONOMA INC,1.0
2021-02-01,83111,ALXN,ALEXION PHARMACEUTICALS INC,1.0
2021-02-01,84172,NUS,NU SKIN ENTERPRISES INC,1.0
2021-02-01,84373,DGX,QUEST DIAGNOSTICS INC,1.0
2021-02-01,85427,GPI,GROUP 1 AUTOMOTIVE INC,1.0
2021-02-01,85621,MTD,METTLER TOLEDO INTERNATIONAL INC,1.0
2021-02-01,85914,BBY,BEST BUY COMPANY INC,1.0
2021-02-01,86047,AMKR,AMKOR TECHNOLOGY INC,1.0
2021-02-01,86778,MKSI,M K S INSTRUMENTS INC,1.0
2021-02-01,87432,A,AGILENT TECHNOLOGIES INC,1.0
2021-02-01,89394,OSTK,OVERSTOCK COM INC DEL,1.0
2021-02-01,89916,NXST,NEXSTAR MEDIA GROUP INC,1.0
2021-02-01,89946,AEL,AMERICAN EQUITY INVT LIFE HLDG C,1.0
2021-02-01,89971,TPX,TEMPUR SEALY INTERNATIONAL INC,1.0
2021-02-01,90520,CE,CELANESE CORP DEL,1.0
2021-02-01,91277,QRTEA,QURATE RETAIL INC,1.0
2021-02-01,93035,SEM,SELECT MEDICAL HOLDINGS CORP,1.0
2021-02-01,93330,PRI,PRIMERICA INC,1.0
2021-02-01,93374,FAF,FIRST AMERICAN FINL CORP NEW,1.0
2021-02-01,89866,LKQ,L K Q CORP,0.995697
2021-02-01,80575,SSD,SIMPSON MANUFACTURING CO INC,0.986742
2021-02-01,50948,SMTC,SEMTECH CORP,0.98414
2021-02-01,85792,PWR,QUANTA SERVICES INC,0.978432
2021-02-01,55976,WMT,WALMART INC,0.974564
2021-02-01,80864,RS,RELIANCE STEEL & ALUMINUM CO,0.969307
2021-02-01,75342,MTH,MERITAGE HOMES CORP,0.969044
2021-02-01,13721,ABBV,ABBVIE INC,0.967508
2021-02-01,20512,CACI,CACI INTERNATIONAL INC,0.967427
2021-02-01,14926,CDK,C D K GLOBAL INC,0.962717
2021-02-01,92602,PM,PHILIP MORRIS INTERNATIONAL INC,0.962027
2021-02-01,13802,APAM,ARTISAN PARTNERS ASSET MGMT INC,0.961416
2021-02-01,14406,ESI,ELEMENT SOLUTIONS INC,0.960473
2021-02-01,38295,SPB,SPECTRUM BRANDS HOLDINGS INC NEW,0.956778
2021-02-01,92655,UNH,UNITEDHEALTH GROUP INC,0.951192
2021-02-01,89753,FORM,FORMFACTOR INC,0.949977
2021-02-01,48725,UNP,UNION PACIFIC CORP,0.948326
2021-02-01,62148,CSX,C S X CORP,0.944913
2021-02-01,79103,ORLY,O REILLY AUTOMOTIVE INC NEW,0.940074
2021-02-01,88031,MNST,MONSTER BEVERAGE CORP NEW,0.93886
2021-02-01,86102,FHI,FEDERATED HERMES INC,0.934533
2021-02-01,61241,AMD,ADVANCED MICRO DEVICES INC,0.933767
2021-02-01,48653,HUM,HUMANA INC,0.933754
2021-02-01,13788,ZTS,ZOETIS INC,0.933411
2021-02-01,91658,AIMC,ALTRA INDUSTRIAL MOTION CORP,0.92743
2021-02-01,18163,PG,PROCTER & GAMBLE CO,0.926961
2021-02-01,93096,DG,DOLLAR GENERAL CORP NEW,0.926935
2021-02-01,68196,SEIC,S E I INVESTMENTS CO,0.919564
2021-02-01,75510,ADBE,ADOBE INC,0.917274
2021-02-01,93312,SSNC,S S & C TECHNOLOGIES HLDGS INC,0.864284
2021-02-01,90037,HTH,HILLTOP HOLDINGS INC,0.772227
2021-02-01,21371,CAH,CARDINAL HEALTH INC,0.712203
2021-02-01,90708,MORN,MORNINGSTAR INC,0.533241
2021-02-01,47941,TGNA,TEGNA INC,0.522444
2021-02-01,82547,AEIS,ADVANCED ENERGY INDUSTRIES INC,0.451207
2021-02-01,87055,COST,COSTCO WHOLESALE CORP NEW,0.24081
2021-02-01,11786,SIVB,S V B FINANCIAL GROUP,0.198937
2021-02-01,10397,WERN,WERNER ENTERPRISES INC,0.081404
2021-02-01,13928,COP,CONOCOPHILLIPS,-0.2543
2021-02-01,71475,AWR,AMERICAN STATES WATER CO,-0.441784
2021-02-01,16816,BHF,BRIGHTHOUSE FINANCIAL INC,-0.524602
2021-02-01,76128,VICR,VICOR CORP,-0.687369
2021-02-01,14988,LBRDK,LIBERTY BROADBAND CORP,-0.7476
2021-02-01,16924,DCPH,DECIPHERA PHARMACEUTICALS INC,-0.774441
2021-02-01,90505,LVS,LAS VEGAS SANDS CORP,-0.806833
2021-02-01,93289,MXL,MAXLINEAR INC,-0.821897
2021-02-01,17036,CNNE,CANNAE HOLDINGS INC,-0.858097
2021-02-01,13739,BFAM,BRIGHT HORIZONS FAM SOL INC NEW,-0.878444
2021-02-01,91152,TDG,TRANSDIGM GROUP INC,-0.893999
2021-02-01,79839,ITRI,ITRON INC,-0.89693
2021-02-01,14176,XLRN,ACCELERON PHARMA INC,-0.902955
2021-02-01,15272,SEDG,SOLAREDGE TECHNOLOGIES INC,-0.90347
2021-02-01,77702,SBUX,STARBUCKS CORP,-0.904889
2021-02-01,19561,BA,BOEING CO,-0.90713
2021-02-01,14338,HLT,HILTON WORLDWIDE HOLDINGS INC,-0.911243
2021-02-01,89922,XPER,XPERI HOLDING CORP,-0.921485
2021-02-01,26403,DIS,DISNEY WALT CO,-0.928147
2021-02-01,12639,CSOD,CORNERSTONE ONDEMAND INC,-0.928655
2021-02-01,14295,TWTR,TWITTER INC,-0.933103
2021-02-01,15046,NVRO,NEVRO CORP,-0.934616
2021-02-01,14782,TRUP,TRUPANION INC,-0.937219
2021-02-01,28804,ALK,ALASKA AIRGROUP INC,-0.938992
2021-02-01,91926,DAL,DELTA AIR LINES INC,-0.943998
2021-02-01,14811,FWONK,LIBERTY MEDIA CORP 3RD NEW,-0.94432
2021-02-01,18649,BCO,BRINKS CO,-0.946204
2021-02-01,13967,PTCT,P T C THERAPEUTICS INC,-0.947357
2021-02-01,14882,CZR,CAESARS ENTERTAINMENT INC DE,-0.947712
2021-02-01,90188,NUVA,NUVASIVE INC,-0.953975
2021-02-01,83779,PEGA,PEGASYSTEMS INC,-0.956355
2021-02-01,91659,ALGT,ALLEGIANT TRAVEL CO,-0.959001
2021-02-01,86949,SKX,SKECHERS U S A INC,-0.959331
2021-02-01,87430,KTOS,KRATOS DEFENSE & SECUR SOLS INC,-0.967508
2021-02-01,91237,VG,VONAGE HOLDINGS CORP,-0.969274
2021-02-01,13356,PSX,PHILLIPS 66,-0.969356
2021-02-01,16381,BL,BLACKLINE INC,-0.971764
2021-02-01,90427,TXRH,TEXAS ROADHOUSE INC,-0.975005
2021-02-01,52898,WTRG,ESSENTIAL UTILITIES INC,-0.979019
2021-02-01,13704,NEO,NEOGENOMICS INC,-0.984724
2021-02-01,13511,PANW,PALO ALTO NETWORKS INC,-0.986898
2021-02-01,10026,JJSF,J & J SNACK FOODS CORP,-1.0
2021-02-01,12872,MPC,MARATHON PETROLEUM CORP,-1.0
2021-02-01,13168,TRIP,TRIPADVISOR INC,-1.0
2021-02-01,13262,CCXI,CHEMOCENTRYX INC,-1.0
2021-02-01,13379,SPLK,SPLUNK INC,-1.0
2021-02-01,13527,FIVE,FIVE BELOW INC,-1.0
2021-02-01,13688,PCG,P G & E CORP,-1.0
2021-02-01,13860,SEAS,SEAWORLD ENTERTAINMENT INC,-1.0
2021-02-01,13962,NSTG,NANOSTRING TECHNOLOGIES INC,-1.0
2021-02-01,14044,AGIO,AGIOS PHARMACEUTICALS INC,-1.0
2021-02-01,14054,MRTX,MIRATI THERAPEUTICS INC,-1.0
2021-02-01,14136,RNG,RINGCENTRAL INC,-1.0
2021-02-01,14159,FEYE,FIREEYE INC,-1.0
2021-02-01,14182,BURL,BURLINGTON STORES INC,-1.0
2021-02-01,14263,VCYT,VERACYTE INC,-1.0
2021-02-01,14325,TNDM,TANDEM DIABETES CARE INC,-1.0
2021-02-01,14329,ARMK,ARAMARK,-1.0
2021-02-01,14359,XNCR,XENCOR INC,-1.0
2021-02-01,14432,ITCI,INTRA CELLULAR THERAPIES INC,-1.0
2021-02-01,14436,RARE,ULTRAGENYX PHARMACEUTICALS INC,-1.0
2021-02-01,14472,VRNS,VARONIS SYSTEMS INC,-1.0
2021-02-01,14596,FIVN,FIVE 9 INC,-1.0
2021-02-01,14634,,,-1.0
2021-02-01,14641,ZEN,ZENDESK INC,-1.0
2021-02-01,15065,FGEN,FIBROGEN INC,-1.0
2021-02-01,15108,NEWR,NEW RELIC INC,-1.0
2021-02-01,15431,MCRB,SERES THERAPEUTICS INC,-1.0
2021-02-01,15454,GKOS,GLAUKOS CORP,-1.0
2021-02-01,15534,NTRA,NATERA INC,-1.0
2021-02-01,15627,PLNT,PLANET FITNESS INC,-1.0
2021-02-01,15643,RUN,SUNRUN INC,-1.0
2021-02-01,15729,PSTG,PURE STORAGE INC,-1.0
2021-02-01,16068,RETA,REATA PHARMACEUTICALS INC,-1.0
2021-02-01,16140,TWLO,TWILIO INC,-1.0
2021-02-01,16382,COUP,COUPA SOFTWARE INC,-1.0
2021-02-01,16595,SNAP,SNAP INC,-1.0
2021-02-01,16649,OKTA,OKTA INC,-1.0
2021-02-01,16968,MDB,MONGODB INC,-1.0
2021-02-01,17125,DNLI,DENALI THERAPEUTICS INC,-1.0
2021-02-01,23026,FE,FIRSTENERGY CORP,-1.0
2021-02-01,24328,EQT,E Q T CORP,-1.0
2021-02-01,28484,HES,HESS CORP,-1.0
2021-02-01,32870,HRL,HORMEL FOODS CORP,-1.0
2021-02-01,43123,ATI,ALLEGHENY TECHNOLOGIES,-1.0
2021-02-01,58683,LUV,SOUTHWEST AIRLINES CO,-1.0
2021-02-01,76661,IONS,IONIS PHARMACEUTICALS INC,-1.0
2021-02-01,80069,ARWR,ARROWHEAD PHARMACEUTICALS INC,-1.0
2021-02-01,80191,ALB,ALBEMARLE CORP,-1.0
2021-02-01,82670,TGTX,T G THERAPEUTICS INC,-1.0
2021-02-01,82759,NUAN,NUANCE COMMUNICATIONS INC,-1.0
2021-02-01,88421,ARNA,ARENA PHARMACEUTICALS INC,-1.0
2021-02-01,88863,EXAS,EXACT SCIENCES CORP,-1.0
2021-02-01,89031,AXON,AXON ENTERPRISE INC,-1.0
2021-02-01,89353,JBLU,JETBLUE AIRWAYS CORP,-1.0
2021-02-01,90178,ALNY,ALNYLAM PHARMACEUTICALS INC,-1.0
2021-02-01,90444,ORA,ORMAT TECHNOLOGIES INC,-1.0
2021-02-01,90808,EXPE,EXPEDIA GROUP INC,-1.0
2021-02-01,90856,ATRC,ATRICURE INC,-1.0
2021-02-01,91041,LYV,LIVE NATION ENTERTAINMENT INC,-1.0
2021-02-01,91103,UAL,UNITED AIRLINES HOLDINGS INC,-1.0
2021-02-01,91594,SPR,SPIRIT AEROSYSTEMS HOLDINGS INC,-1.0
2021-02-01,93098,H,HYATT HOTELS CORP,-1.0
2021-02-01,93150,CIT,C I T GROUP INC NEW,-1.0
2021-02-01,93423,SIX,SIX FLAGS ENTERTAINMENT CORP,-1.0
2021-03-01,10107,MSFT,MICROSOFT CORP,1.0
2021-03-01,10874,BC,BRUNSWICK CORP,1.0
2021-03-01,11809,CLH,CLEAN HARBORS INC,1.0
2021-03-01,12062,LH,LABORATORY CORP AMERICA HLDGS,1.0
