month,n_positions,gross,net,beta_60m_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share
2023-11-30,242,1.999999999999999,1.6653345369377348e-16,0.0,-5.551115123125783e-17,0.05,0.2040087484902916
2023-12-31,235,1.9999999999999984,2.7755575615628914e-17,-2.7755575615628914e-17,-2.7755575615628914e-16,0.05,0.19217114421414735
2024-01-31,229,1.9999999999999991,2.7755575615628914e-17,1.942890293094024e-16,5.273559366969494e-16,0.05000000000000002,0.20556852634300357
2024-02-29,230,1.999999999999999,8.326672684688674e-17,-1.3877787807814457e-16,-3.0531133177191805e-16,0.05000000000000002,0.19904315347333218
2024-03-31,231,1.9999999999999991,-1.3877787807814457e-16,2.220446049250313e-16,-2.220446049250313e-16,0.05000000000000002,0.20497608222288793
2024-04-30,226,1.999999999999999,8.326672684688674e-17,5.551115123125783e-17,-1.6653345369377348e-16,0.05,0.21018037626277128
2024-05-31,237,1.9999999999999993,0.0,-2.7755575615628914e-17,-1.6653345369377348e-16,0.050000000000000024,0.1898327831337507
2024-06-30,236,1.9999999999999996,0.0,-5.551115123125783e-17,-4.440892098500626e-16,0.05,0.19139928301981018
2024-07-31,235,1.9999999999999998,-8.326672684688674e-17,4.718447854656915e-16,5.551115123125783e-17,0.05000000000000003,0.21417569039709483
2024-08-31,229,1.9999999999999998,-1.942890293094024e-16,-1.1102230246251565e-16,3.608224830031759e-16,0.05000000000000002,0.2095424073664087
2024-09-30,226,1.9999999999999991,-1.942890293094024e-16,-2.498001805406602e-16,2.7755575615628914e-16,0.05000000000000001,0.21201628000000003
2024-10-31,223,1.999999999999999,5.551115123125783e-17,-2.7755575615628914e-16,-2.220446049250313e-16,0.05000000000000001,0.21551531360539397
2024-11-30,227,1.9999999999999996,-1.3877787807814457e-16,2.220446049250313e-16,1.6653345369377348e-16,0.05000000000000002,0.21136493965108605
2024-12-31,220,1.9999999999999987,0.0,-1.3877787807814457e-16,-2.220446049250313e-16,0.05,0.21235370011786162
2025-01-31,227,1.9999999999999991,0.0,8.326672684688674e-17,1.6653345369377348e-16,0.050000000000000024,0.2072812345619514
2025-02-28,224,1.999999999999999,-8.326672684688674e-17,5.551115123125783e-17,1.3877787807814457e-16,0.05000000000000002,0.20543105125271055
2025-03-31,229,1.9999999999999991,1.6653345369377348e-16,-5.551115123125783e-17,1.6653345369377348e-16,0.050000000000000024,0.20361982161475162
2025-04-30,237,1.9999999999999991,-5.551115123125783e-17,-3.885780586188048e-16,-1.1102230246251565e-16,0.05000000000000001,0.19998149718494973
2025-05-31,239,1.9999999999999996,8.326672684688674e-17,5.551115123125783e-17,-1.3877787807814457e-16,0.05000000000000002,0.19916843657386715
2025-06-30,231,1.9999999999999993,-8.326672684688674e-17,1.1102230246251565e-16,5.551115123125783e-17,0.05000000000000001,0.20097616453093758
2025-07-31,228,1.9999999999999991,8.326672684688674e-17,1.1102230246251565e-16,0.0,0.05000000000000001,0.21173997176457213
2025-08-31,231,1.999999999999999,-8.326672684688674e-17,5.551115123125783e-17,1.3877787807814457e-17,0.05,0.21259208654677758
2025-09-30,229,1.9999999999999987,2.7755575615628914e-17,-4.163336342344337e-16,-2.914335439641036e-16,0.05000000000000001,0.216257381944495
2025-10-31,229,1.9999999999999991,0.0,3.608224830031759e-16,0.0,0.05000000000000001,0.21312335447809141
2025-11-30,234,1.9999999999999993,-2.7755575615628914e-17,-2.7755575615628914e-17,-1.3877787807814457e-16,0.05000000000000001,0.21681437014867463
2025-12-31,231,1.9999999999999996,-2.7755575615628914e-17,-2.220446049250313e-16,2.7755575615628914e-17,0.05000000000000002,0.20888459064644427
2026-01-31,231,1.9999999999999991,-2.7755575615628914e-17,1.3877787807814457e-16,1.942890293094024e-16,0.050000000000000024,0.21236723157573076
2026-02-28,233,1.9999999999999996,8.326672684688674e-17,0.0,-1.1102230246251565e-16,0.05000000000000001,0.22264381282496407
2026-03-31,236,1.9999999999999996,-5.551115123125783e-17,-1.1102230246251565e-16,0.0,0.05000000000000002,0.20695113019353747
2026-04-30,248,1.981915954579045,2.7755575615628914e-16,5.551115123125783e-17,5.551115123125783e-17,0.05000000000000001,0.22721844230268
2026-05-31,241,1.9999999999999996,-1.6653345369377348e-16,1.1102230246251565e-16,-6.661338147750939e-16,0.05000000000000002,0.20399915814524092
2026-06-30,239,1.9999999999999996,1.1102230246251565e-16,1.6653345369377348e-16,-1.6653345369377348e-16,0.05000000000000002,0.1998037558338415
2026-07-31,237,1.9811392353926365,0.0,1.942890293094024e-16,-5.551115123125783e-17,0.05,0.19280377684397507
2026-08-31,245,1.9999999999999996,-5.551115123125783e-17,-1.1102230246251565e-16,-1.1102230246251565e-16,0.05000000000000002,0.22904569249839662
