Date,ticker,weight,llm_rationale,verified,unsupported_numbers,foreign_tickers,forward_language,semantic_errors,template_reason,seconds
2021-12-01,BCC,0.01,"We are taking a long position in BCC at a weight of 1.0% NAV, supported primarily by strong quality and value factor scores. Although the investment issuance accruals and surprise factors present headwinds, the high short interest of 2.6% provides additional leverage to our view.",False,[],[],[],['short interest called high at 2.6%'],"LONG 1.00% NAV; factors +0.11 (for: quality +0.81, value +0.79; against: volatility_beta -0.66); short interest 2.6% of shares, days-to-cover 2.5; 8-K month: novelty 0.00",8.283823666
2021-12-01,ZTS,0.01,"We are long ZTS at a weight of 1.0% NAV, supported primarily by strong profitability (0.72) and quality (0.48) scores despite negative value (-0.56) and surprise (-0.22) factors. The position benefits from low short interest of 0.5% with only 1.6 days to cover.",True,[],[],[],[],"LONG 1.00% NAV; factors +0.25 (for: profitability +0.72, volatility_beta +0.50; against: value -0.56); short interest 0.5% of shares, days-to-cover 1.6; 8-K month: novelty 0.00",9.830743
2021-12-01,AMRC,-0.01,"The short position in AMRC at a weight of 1.0% is supported by negative signals in surprise (-0.86), investment issuance accruals (-0.8), and quality (-0.78). This stance aligns with the existing short interest of 4.0%, while opposing factors such as liquidity (0.24) are outweighed by the dominant negative factor groups.",True,[],[],[],[],"SHORT 1.00% NAV; factors -0.44 (for: surprise -0.86, investment_issuance_accruals -0.80; against: liquidity +0.24); short interest 4.0% of shares, days-to-cover 2.8; 8-K month: novelty 0.08",10.327203916
2021-12-01,PACB,-0.01,"The short position in PACB at a weight of 1.0% is driven primarily by severe concerns regarding investment issuance accruals and quality, both scoring -0.91, alongside significant volatility beta risks. Although the stock exhibits elevated short interest of 8.1%, the model's composite score of -0.56 reflects these dominant negative factors outweighing the positive surprise metric.",True,[],[],[],[],"SHORT 1.00% NAV; factors -0.56 (for: investment_issuance_accruals -0.91, quality -0.91; against: surprise +0.50); short interest 8.1% of shares, days-to-cover 8.5; 8-K month: novelty 0.03",10.586192375000001
2021-12-01,APO,-0.01,"The short position in APO at a weight of 1.0% is driven primarily by negative signals in investment issuance accruals (-0.84) and quality (-0.77), while profitability (0.45) serves as the strongest opposing factor. The model also accounts for elevated short interest of 9.2% with 9.6 days to cover.",True,[],[],[],[],"SHORT 1.00% NAV; factors -0.37 (for: investment_issuance_accruals -0.84, quality -0.77; against: profitability +0.45); short interest 9.2% of shares, days-to-cover 9.6",9.756439416
2021-12-01,GWRE,-0.01,"The short position in GWRE at a weight of 1.0% is driven by negative signals in surprise (-0.8) and quality (-0.76), while opposing factors include liquidity (0.13) and investment issuance accruals (0.54). The stock exhibits a short interest of 3.9% with 7.9 days to cover.",True,[],[],[],[],"SHORT 1.00% NAV; factors -0.33 (for: surprise -0.80, quality -0.76; against: investment_issuance_accruals +0.54); short interest 3.9% of shares, days-to-cover 7.9; 8-K month: novelty 0.85",10.15356775
2021-12-01,PANW,-0.01,"The short position in PANW at a weight of 1.0% is driven by significant negative signals in quality (-0.78) and liquidity (-0.76), which outweigh the positive surprise factor (0.88). With a short interest of 6.8%, the model identifies deteriorating fundamentals as the primary rationale for this trade.",True,[],[],[],[],"SHORT 1.00% NAV; factors -0.33 (for: quality -0.78, liquidity -0.76; against: surprise +0.88); short interest 6.8% of shares, days-to-cover 6.6; 8-K month: novelty 0.01",9.372366833
2022-06-01,MSFT,0.01,"We are long MSFT at a weight of 1.0% NAV, supported primarily by strong quality and profitability scores. Although liquidity and value factors are negative, the position benefits from low short interest of 0.5%.",True,[],[],[],[],"LONG 1.00% NAV; factors +0.28 (for: quality +0.77, profitability +0.74; against: value -0.39); short interest 0.5% of shares, days-to-cover 1.0",7.7426777499999995
2022-06-01,CDNS,0.01,"We are long CDNS at a weight of 1.0% NAV, supported primarily by strong quality and profitability scores alongside positive earnings surprise. Although value factors are negative, the position benefits from low short interest of 1.4% and manageable days to cover of 2.3.",True,[],[],[],[],"LONG 1.00% NAV; factors +0.22 (for: quality +0.81, profitability +0.71; against: value -0.54); short interest 1.4% of shares, days-to-cover 2.3; 8-K month: novelty 0.46",7.924367792
2022-06-01,MATX,0.01,"We are long MATX at a weight of 1.0% NAV, supported primarily by strong quality and value factor scores. Although liquidity and accruals factors show weakness, the position benefits from a low volatility beta and elevated short interest of 4.4%.",False,[],[],[],"['short interest called high at 4.4%', 'volatility beta described as negative but score 0.12']","LONG 1.00% NAV; factors +0.35 (for: quality +0.88, value +0.85; against: investment_issuance_accruals -0.22); short interest 4.4% of shares, days-to-cover 3.3; 8-K month: novelty 0.04",7.887915791999999
2022-06-01,XOM,0.01,"We are long XOM at a weight of 1.0% NAV, supported primarily by its high quality score of 0.91 and value score of 0.42, while profitability concerns (-0.19) present the main opposing factor. The position also accounts for a short interest of 0.8% with one day to cover.",True,[],[],[],[],"LONG 1.00% NAV; factors +0.31 (for: quality +0.91, value +0.42; against: liquidity -0.38); short interest 0.8% of shares, days-to-cover 1.0",9.942380083
2022-06-01,EPAM,0.01,"The long position in EPAM carries a 1.0% weight and is supported by strong quality (0.32) and profitability (0.28) scores, though it faces headwinds from low liquidity (-0.58) and high volatility beta (-0.94). With a short interest of 2.6%, the composite score of -0.14 reflects these mixed factor signals.",False,[],[],[],['volatility beta described as positive but score -0.94'],"LONG 1.00% NAV; factors -0.14 (for: quality +0.32, profitability +0.28; against: volatility_beta -0.94); short interest 2.6% of shares, days-to-cover 1.2; 8-K month: novelty 0.01",10.6901095
2022-06-01,ENV,-0.01,"The short position in ENV carries a weight of 1.0% NAV, supported by negative signals in profitability (-0.61) and quality (-0.55), while the opposing value factor (+0.26) is less influential. The stock also exhibits elevated short interest at 6.0% with 5.2 days to cover.",True,[],[],[],[],"SHORT 1.00% NAV; factors -0.29 (for: profitability -0.61, quality -0.55; against: liquidity +0.23); short interest 6.0% of shares, days-to-cover 5.2",9.626972292
2022-06-01,APO,-0.01,"The short position in APO at a weight of 1.0% is driven primarily by negative signals in investment issuance accruals and surprise factors. Although the stock exhibits moderate short interest of 3.8%, the composite score of -0.62 reflects significant concerns regarding profitability and quality metrics.",True,[],[],[],[],"SHORT 1.00% NAV; factors -0.62 (for: investment_issuance_accruals -0.90, surprise -0.82; against: liquidity -0.37); short interest 3.8% of shares, days-to-cover 5.0",8.444437209
2022-06-01,PANW,-0.01,"We are short PANW at a weight of 1.0% NAV, supported by strong negative signals in liquidity (-0.82) and quality (-0.72), while the positive surprise factor (0.81) serves as the primary opposing influence. The position aligns with elevated short interest of 7.0% and low days to cover of 3.5.",True,[],[],[],[],"SHORT 1.00% NAV; factors -0.35 (for: liquidity -0.82, quality -0.72; against: surprise +0.81); short interest 7.0% of shares, days-to-cover 3.5; 8-K month: novelty 0.87",9.88145425
2022-06-01,PTCT,-0.01,"The short position in PTCT is driven by significant negative signals in value (-0.96) and quality (-0.77), while opposing factors include positive surprise (0.09) and investment issuance accruals (0.44). With a 7.5% short interest and 7.7 days to cover, the portfolio maintains a 1.0% weight in this sector-neutral exposure.",True,[],[],[],[],"SHORT 1.00% NAV; factors -0.31 (for: value -0.96, quality -0.77; against: investment_issuance_accruals +0.44); short interest 7.5% of shares, days-to-cover 7.7; 8-K month: novelty 0.90",10.3522015
2022-06-01,MRTX,-0.01,"The short position in MRTX at a weight of 1.0% is driven by severe deterioration in profitability (-0.98) and quality (-0.54), which outweigh the positive signal from investment issuance accruals (0.12). With a composite score of -0.42 and existing short interest of 9.4%, the model identifies significant fundamental weakness across multiple factor groups.",True,[],[],[],[],"SHORT 1.00% NAV; factors -0.42 (for: profitability -0.98, quality -0.54; against: investment_issuance_accruals +0.12); short interest 9.4% of shares, days-to-cover 5.0",10.644738665999999
2023-09-01,COKE,0.01,"We are long COKE at a weight of 1.0% NAV, supported primarily by its exceptional quality score of 0.97 and solid liquidity of 0.68. The position faces some headwinds from negative surprise (-0.01) and investment issuance accruals (-0.1), though the short interest remains low at 0.9%.",True,[],[],[],[],"LONG 1.00% NAV; factors +0.34 (for: quality +0.97, liquidity +0.68; against: volatility_beta -0.37); short interest 0.9% of shares, days-to-cover 1.5; 8-K month: novelty 0.05",9.728462167
2023-09-01,ITT,0.01,"We are long ITT at a weight of 1.0% NAV, supported primarily by strong quality and liquidity scores. Although value and investment issuance accruals factors are negative, the position benefits from a short interest of 0.8%.",True,[],[],[],[],"LONG 1.00% NAV; factors +0.28 (for: quality +0.69, liquidity +0.43; against: investment_issuance_accruals -0.22); short interest 0.8% of shares, days-to-cover 1.4; 8-K month: novelty 0.00",7.303307834
2023-09-01,ALSN,0.01,"We are long ALSN at a weight of 1.0% NAV, supported primarily by strong volatility beta and profitability scores. Although short interest is present at 1.6%, the position benefits from favorable value and surprise metrics.",True,[],[],[],[],"LONG 1.00% NAV; factors +0.39 (for: volatility_beta +0.62, profitability +0.60; against: liquidity +0.12); short interest 1.6% of shares, days-to-cover 2.2",7.337144375
2023-09-01,META,0.01,"The long position in META at a weight of 1.0% is supported by strong profitability and surprise scores, while the opposing value factor remains negative. Additionally, the stock exhibits low short interest at 1.2% with a days-to-cover ratio of 1.6.",True,[],[],[],[],"LONG 1.00% NAV; factors +0.15 (for: profitability +0.57, surprise +0.45; against: liquidity -0.73); short interest 1.2% of shares, days-to-cover 1.6",8.140008291000001
2023-09-01,BCC,0.01,"We are taking a long position in BCC at a weight of 1.0% NAV, supported primarily by strong quality and value factor scores. Although the investment issuance accruals factor is negative, the short interest of 2.0% provides additional conviction for this side.",True,[],[],[],[],"LONG 1.00% NAV; factors +0.27 (for: quality +0.78, value +0.65; against: surprise -0.32); short interest 2.0% of shares, days-to-cover 2.1; 8-K month: novelty 0.43",8.309679292
2023-09-01,RGEN,-0.01,"The short position in RGEN is driven by negative signals in surprise (-0.74) and value (-0.52), while opposing factors like quality (-0.09) are less influential. This view aligns with the existing 9.7% short interest, which suggests a days-to-cover of 10.8.",True,[],[],[],[],"SHORT 1.00% NAV; factors -0.43 (for: surprise -0.74, value -0.52; against: quality -0.09); short interest 9.7% of shares, days-to-cover 10.8; 8-K month: novelty 0.00",8.810417708000001
2023-09-01,KKR,-0.01,"The short position in KKR is driven by significant negative signals in quality (-0.79) and value (-0.41), while liquidity (0.29) provides the primary opposing support. With a composite score of -0.15 and existing short interest at 1.6%, the model maintains a 1.0% weight to capitalize on these fundamental weaknesses.",True,[],[],[],[],"SHORT 1.00% NAV; factors -0.15 (for: quality -0.79, value -0.41; against: surprise +0.88); short interest 1.6% of shares, days-to-cover 4.6; 8-K month: novelty 0.30",10.006134542
2023-09-01,MGPI,-0.01,"We are short MGPI at a weight of 1.0% NAV, supported primarily by negative signals in investment issuance accruals (-0.61) and value (-0.22), while liquidity (0.81) serves as the strongest opposing factor. The position aligns with elevated short interest of 9.5% and a composite score of -0.17.",True,[],[],[],[],"SHORT 1.00% NAV; factors -0.17 (for: investment_issuance_accruals -0.61, value -0.22; against: liquidity +0.81); short interest 9.5% of shares, days-to-cover 23.4; 8-K month: novelty 0.10",10.420580417
2023-09-01,WD,-0.01,"The short position in WD carries a weight of 1.0% NAV, supported primarily by negative signals in quality (-0.8) and investment issuance accruals (-0.57), while liquidity (0.65) serves as the strongest opposing factor. The model also notes a short interest of 3.8% with 7.3 days to cover.",True,[],[],[],[],"SHORT 1.00% NAV; factors -0.31 (for: quality -0.80, investment_issuance_accruals -0.57; against: liquidity +0.65); short interest 3.8% of shares, days-to-cover 7.3; 8-K month: novelty 0.00",9.425016334
2023-09-01,GWRE,-0.01,"We are short GWRE at a weight of 1.0% NAV, supported by negative signals in quality (-0.88) and value (-0.67), while opposing factors include positive surprise (0.47) and investment issuance accruals (0.59). The position aligns with the composite score of -0.21 against a short interest of 2.8%.",True,[],[],[],[],"SHORT 1.00% NAV; factors -0.21 (for: quality -0.88, value -0.67; against: investment_issuance_accruals +0.59); short interest 2.8% of shares, days-to-cover 4.5",10.729715709
2025-03-01,EHC,0.01,"We are long EHC at a weight of 1.0% NAV, supported primarily by strong quality and volatility beta factors with a composite score of 0.27. The position is offset by negative value signals, while short interest remains low at 1.8%.",True,[],[],[],[],"LONG 1.00% NAV; factors +0.27 (for: quality +0.67, volatility_beta +0.41; against: value -0.10); short interest 1.8% of shares, days-to-cover 2.3; 8-K month: novelty 0.61",7.816005667000001
2025-03-01,MATX,0.01,"We are initiating a long position in MATX at a weight of 1.0% NAV, supported primarily by its high quality score of 0.92 and value score of 0.74. The decision accounts for the stock's short interest of 4.5%, while noting that profitability and volatility factors present weaker signals.",True,[],[],[],[],"LONG 1.00% NAV; factors +0.29 (for: quality +0.92, value +0.74; against: volatility_beta +0.08); short interest 4.5% of shares, days-to-cover 5.2; 8-K month: novelty 0.60",8.895330959
2025-03-01,COKE,0.01,"We are long Coke (KO) at a weight of 1.0% driven by strong quality and profitability factors, while short interest remains low at 1.0%.",False,[],['KO'],[],[],"LONG 1.00% NAV; factors +0.38 (for: quality +0.72, profitability +0.54; against: value -0.01); short interest 1.0% of shares, days-to-cover 2.1; 8-K month: novelty 0.05",5.934742125
2025-03-01,ITT,0.01,"The long position in ITT at a weight of 1.0% is supported by strong quality and volatility beta scores of 0.65 and 0.48, respectively, while value factors present a slight headwind with a score of -0.04. The portfolio also accounts for the stock's short interest of 1.3% and days to cover of 2.3 in its composite assessment.",True,[],[],[],[],"LONG 1.00% NAV; factors +0.31 (for: quality +0.65, liquidity +0.48; against: investment_issuance_accruals -0.34); short interest 1.3% of shares, days-to-cover 2.3; 8-K month: novelty 0.04",10.428382542
2025-03-01,UI,0.01,"We are long UI at a weight of 1.0% NAV, supported primarily by strong liquidity and profitability scores alongside a short interest of 0.5%. The position faces headwinds from negative value and volatility beta signals.",True,[],[],[],[],"LONG 1.00% NAV; factors +0.42 (for: liquidity +0.92, profitability +0.86; against: volatility_beta -0.57); short interest 0.5% of shares, days-to-cover 1.9; 8-K month: novelty 0.01",6.914831041
2025-03-01,CRK,-0.01,"The short position in CRK at a weight of 1.0% is driven primarily by negative quality and profitability signals, while the opposing value factor provides limited support. With a composite score of -0.38 and a short interest of 7.0%, the trade targets deterioration in these fundamental metrics.",True,[],[],[],[],"SHORT 1.00% NAV; factors -0.38 (for: quality -0.94, profitability -0.75; against: liquidity +0.45); short interest 7.0% of shares, days-to-cover 9.8; 8-K month: novelty 0.00",8.753512708
2025-03-01,APO,-0.01,"The short position in APO is supported by negative signals in surprise (-0.83) and quality (-0.64), while profitability (0.16) serves as the primary opposing factor. This trade carries a 1.0% weight with a current short interest of 6.4%.",True,[],[],[],[],"SHORT 1.00% NAV; factors -0.40 (for: surprise -0.83, quality -0.64; against: profitability +0.16); short interest 6.4% of shares, days-to-cover 11.6",8.6301555
2025-03-01,HII,-0.01,"The short position in HII is supported by negative signals in surprise (-0.9) and quality (-0.82), while value factors provide a modest opposing signal of 0.25. With a weight of -1.0% NAV and existing short interest at 3.8%, the trade targets deterioration in earnings surprises and fundamental quality metrics.",True,[],[],[],[],"SHORT 1.00% NAV; factors -0.29 (for: surprise -0.90, quality -0.82; against: value +0.25); short interest 3.8% of shares, days-to-cover 1.6; 8-K month: novelty 0.01",9.311692458
2025-03-01,OGS,-0.01,"The short position in OGS is driven by significant concerns regarding investment issuance accruals and quality factors, which are the primary drivers of the negative composite score. Although liquidity and surprise metrics provide some support, the portfolio maintains a 1.0% weight alongside a current short interest of 3.8%.",True,[],[],[],[],"SHORT 1.00% NAV; factors -0.06 (for: investment_issuance_accruals -0.50, quality -0.41; against: volatility_beta +0.62); short interest 3.8% of shares, days-to-cover 6.7; 8-K month: novelty 0.28",8.72151
2025-03-01,RARE,-0.01,"We are short RARE at a weight of 1.0% NAV, supported by strong negative signals in profitability (-0.98) and value (-0.9). The position is further reinforced by low volatility beta (-0.03), while the opposing surprise factor (0.02) is negligible relative to the dominant headwinds.",True,[],[],[],[],"SHORT 1.00% NAV; factors -0.35 (for: profitability -0.98, value -0.90; against: liquidity +0.32); short interest 4.6% of shares, days-to-cover 6.2; 8-K month: novelty 0.03",9.416433291999999
2026-06-01,,0.01,"The long position with a weight of 1.0% is supported by strong quality and profitability scores, while the value factor presents opposing pressure. Short interest data is not provided for this position.",True,[],[],[],[],"LONG 1.00% NAV; factors +0.27 (for: quality +0.97, profitability +0.86; against: value -0.48)",6.518455292
2026-06-01,GTX,0.01,"The long position in GTX at a 1.0% weight is supported by strong earnings surprise and quality factors, while profitability concerns provide the primary opposing signal. Additionally, the stock exhibits elevated short interest of 3.6% with only 2.0 days to cover.",False,[],[],[],['short interest called high at 3.6%'],"LONG 1.00% NAV; factors +0.32 (for: surprise +0.61, quality +0.51; against: volatility_beta -0.28); short interest 3.6% of shares, days-to-cover 2.0; 8-K month: novelty 0.24",7.610873958
2026-06-01,FSLY,0.01,"The long position in FSLY carries a 1.0% weight and is primarily supported by strong surprise (0.54) and quality (0.17) factor scores, though it faces headwinds from low value (-0.43), profitability (-0.45), and volatility beta (-0.97). The position also benefits from a notable short interest of 13.6% with only 1.5 days to cover.",True,[],[],[],[],"LONG 1.00% NAV; factors -0.04 (for: surprise +0.54, quality +0.17; against: volatility_beta -0.97); short interest 13.6% of shares, days-to-cover 1.5; 8-K month: novelty 0.02",11.79316775
2026-06-01,APP,0.01,"We are long APP at a weight of 1.0% NAV, supported primarily by strong profitability (0.97) and quality (0.81) scores despite negative signals in value (-0.55) and liquidity (-0.65). The position benefits from a short interest of 3.9% with only 2.1 days to cover.",True,[],[],[],[],"LONG 1.00% NAV; factors +0.11 (for: profitability +0.97, quality +0.81; against: volatility_beta -0.86); short interest 3.9% of shares, days-to-cover 2.1; 8-K month: novelty 0.00",9.933828709
2026-06-01,DAVE,0.01,"We are long DAVE at a weight of 1.0% NAV, supported primarily by strong profitability and favorable investment issuance accruals metrics. Although short interest is elevated at 17.1%, the position benefits from high quality scores relative to opposing liquidity and volatility factors.",False,[],[],[],['quality described as positive but score -0.09'],"LONG 1.00% NAV; factors +0.02 (for: profitability +0.90, investment_issuance_accruals +0.23; against: volatility_beta -0.66); short interest 17.1% of shares, days-to-cover 3.9; 8-K month: novelty 0.00",7.890133583
2026-06-01,CLDX,-0.01,"The short position in CLDX at a weight of 1.0% is driven by severe deterioration in profitability (-0.98) and quality (-0.96), which outweigh the positive signals from liquidity (0.46) and investment issuance accruals (0.3). With a composite score of -0.42 and existing short interest at 9.1%, the model identifies significant fundamental weakness in this healthcare equipment manufacturer.",True,[],[],[],[],"SHORT 1.00% NAV; factors -0.42 (for: profitability -0.98, quality -0.96; against: liquidity +0.46); short interest 9.1% of shares, days-to-cover 10.1; 8-K month: novelty 0.00",11.691767208
2026-06-01,,-0.01,"The short position in the ticker with a weight of 1.0% is supported by strong negative signals in value (-0.66) and volatility beta (-0.47), while opposing factors include quality (0.5) and profitability (0.18).",True,[],[],[],[],"SHORT 1.00% NAV; factors -0.12 (for: value -0.66, volatility_beta -0.47; against: quality +0.50)",7.759126375
2026-06-01,,-0.01,"The short position at a weight of 1.0% is supported by strong signals in the surprise and profitability factor groups, while opposing views from investment issuance accruals and liquidity provide context for the composite score of 0.16.",True,[],[],[],[],"SHORT 1.00% NAV; factors +0.16 (for: investment_issuance_accruals -0.67, liquidity -0.25; against: volatility_beta +0.99)",7.057616792
2026-06-01,,-0.01,"The short position with a weight of 1.0% is driven by strong negative signals in value (-0.95) and profitability (-0.8), while liquidity (0.35) provides the primary opposing support. Additionally, the model notes a short interest level that reinforces the bearish stance.",True,[],[],[],[],"SHORT 1.00% NAV; factors -0.42 (for: value -0.95, profitability -0.80; against: liquidity +0.35)",8.313581625000001
2026-06-01,MSGS,-0.01,"The short position in MSGS at a weight of 1.0% is driven by significant underperformance in quality (-0.69) and profitability (-0.52), while liquidity (0.09) serves as the primary opposing factor. The model also accounts for a short interest of 6.1% with 4.2 days to cover.",True,[],[],[],[],"SHORT 1.00% NAV; factors -0.18 (for: quality -0.69, profitability -0.52; against: volatility_beta +0.31); short interest 6.1% of shares, days-to-cover 4.2; 8-K month: novelty 0.49",9.79460125
