rule,test_year,n_features,features
decorr,2025,106,"['age', 'aliq_at', 'aliq_mat', 'at_be', 'at_gr1', 'at_me', 'at_turnover', 'be_gr1a', 'beta_60m', 'beta_dimson_21d', 'betabab_1260d', 'betadown_252d', 'bidaskhl_21d', 'capex_abn', 'capx_gr1', 'capx_gr2', 'capx_gr3', 'cash_at', 'chcsho_12m', 'coa_gr1a', 'col_gr1a', 'corr_1260d', 'coskew_21d', 'cowc_gr1a', 'dbnetis_at', 'debt_gr3', 'dgp_dsale', 'div12m_me', 'dolvol_var_126d', 'dsale_dinv', 'dsale_drec', 'dsale_dsga', 'earnings_variability', 'ebit_bev', 'ebit_sale', 'ebitda_mev', 'emp_gr1', 'eq_dur', 'eqnetis_at', 'eqnpo_me', 'f_score', 'fcf_me', 'gp_at', 'intrinsic_value', 'inv_gr1', 'inv_gr1a', 'iskew_capm_21d', 'iskew_hxz4_21d', 'ivol_capm_252d', 'kz_index', 'lti_gr1a', 'market_equity', 'mispricing_mgmt', 'mispricing_perf', 'ncol_gr1a', 'netdebt_me', 'netis_at', 'nfna_gr1a', 'ni_ar1', 'ni_be', 'ni_inc8q', 'ni_ivol', 'ni_me', 'niq_be', 'niq_be_chg1', 'niq_su', 'noa_at', 'noa_gr1a', 'o_score', 'oaccruals_at', 'oaccruals_ni', 'ocf_at', 'ocf_at_chg1', 'ocf_me', 'ocfq_saleq_std', 'op_atl1', 'ope_be', 'pi_nix', 'ppeinv_gr1a', 'prc', 'qmj', 'qmj_growth', 'qmj_safety', 'rd_me', 'rd5_at', 'ret_1_0', 'ret_60_12', 'rmax5_21d', 'rmax5_rvol_21d', 'rskew_21d', 'sale_bev', 'sale_emp_gr1', 'sale_gr1', 'sale_gr3', 'sale_me', 'saleq_gr1', 'saleq_su', 'seas_1_1an', 'seas_1_1na', 'seas_2_5an', 'sti_gr1a', 'taccruals_ni', 'tangibility', 'tax_gr1a', 'z_score', 'zero_trades_252d']"
decorr,2026,106,"['age', 'aliq_at', 'aliq_mat', 'at_be', 'at_gr1', 'at_me', 'at_turnover', 'be_gr1a', 'beta_60m', 'beta_dimson_21d', 'betabab_1260d', 'betadown_252d', 'bidaskhl_21d', 'capex_abn', 'capx_gr1', 'capx_gr2', 'capx_gr3', 'cash_at', 'chcsho_12m', 'coa_gr1a', 'col_gr1a', 'corr_1260d', 'coskew_21d', 'cowc_gr1a', 'dbnetis_at', 'debt_gr3', 'dgp_dsale', 'div12m_me', 'dolvol_var_126d', 'dsale_dinv', 'dsale_drec', 'dsale_dsga', 'earnings_variability', 'ebit_bev', 'ebit_sale', 'ebitda_mev', 'emp_gr1', 'eq_dur', 'eqnetis_at', 'eqnpo_me', 'f_score', 'fcf_me', 'gp_at', 'intrinsic_value', 'inv_gr1', 'inv_gr1a', 'iskew_capm_21d', 'iskew_hxz4_21d', 'ivol_capm_252d', 'ivol_ff3_21d', 'kz_index', 'lti_gr1a', 'market_equity', 'mispricing_mgmt', 'mispricing_perf', 'ncol_gr1a', 'netdebt_me', 'netis_at', 'nfna_gr1a', 'ni_ar1', 'ni_be', 'ni_inc8q', 'ni_ivol', 'ni_me', 'niq_be', 'niq_be_chg1', 'niq_su', 'noa_at', 'noa_gr1a', 'o_score', 'oaccruals_at', 'oaccruals_ni', 'ocf_at', 'ocf_at_chg1', 'ocf_me', 'ocfq_saleq_std', 'op_atl1', 'ope_be', 'pi_nix', 'ppeinv_gr1a', 'prc', 'qmj', 'qmj_growth', 'qmj_safety', 'rd_me', 'rd5_at', 'ret_1_0', 'ret_60_12', 'rmax5_rvol_21d', 'rskew_21d', 'sale_bev', 'sale_emp_gr1', 'sale_gr1', 'sale_gr3', 'sale_me', 'saleq_gr1', 'saleq_su', 'seas_1_1an', 'seas_1_1na', 'seas_2_5an', 'sti_gr1a', 'taccruals_ni', 'tangibility', 'tax_gr1a', 'z_score', 'zero_trades_252d']"
ic_top30,2021,30,"['beta_60m', 'betabab_1260d', 'bidaskhl_21d', 'ebit_bev', 'ebit_sale', 'eqnetis_at', 'fcf_me', 'ivol_capm_21d', 'ivol_capm_252d', 'ivol_ff3_21d', 'ivol_hxz4_21d', 'kz_index', 'market_equity', 'mispricing_perf', 'netdebt_me', 'niq_at', 'niq_be', 'noa_at', 'prc', 'qmj', 'qmj_prof', 'qmj_safety', 'rmax1_21d', 'rmax5_21d', 'rvol_21d', 'seas_1_1an', 'turnover_126d', 'zero_trades_126d', 'zero_trades_21d', 'zero_trades_252d']"
ic_top30,2022,30,"['aliq_mat', 'bidaskhl_21d', 'corr_1260d', 'ebit_bev', 'ebit_sale', 'eqnetis_at', 'fcf_me', 'ivol_capm_21d', 'ivol_capm_252d', 'ivol_ff3_21d', 'ivol_hxz4_21d', 'kz_index', 'market_equity', 'ni_ivol', 'niq_at', 'niq_be', 'prc', 'qmj_safety', 'ret_1_0', 'ret_60_12', 'rmax1_21d', 'rmax5_21d', 'rvol_21d', 'seas_1_1an', 'seas_2_5na', 'tangibility', 'turnover_126d', 'zero_trades_126d', 'zero_trades_21d', 'zero_trades_252d']"
ic_top30,2023,30,"['aliq_mat', 'at_me', 'be_me', 'bev_mev', 'bidaskhl_21d', 'cash_at', 'corr_1260d', 'debt_me', 'ebitda_mev', 'gp_atl1', 'ivol_capm_252d', 'ivol_ff3_21d', 'kz_index', 'netdebt_me', 'niq_at', 'niq_be', 'ocf_me', 'op_atl1', 'prc', 'ret_1_0', 'ret_60_12', 'rmax5_21d', 'sale_me', 'seas_1_1an', 'seas_2_5na', 'tangibility', 'turnover_126d', 'z_score', 'zero_trades_126d', 'zero_trades_252d']"
ic_top30,2024,30,"['aliq_mat', 'bidaskhl_21d', 'chcsho_12m', 'corr_1260d', 'ebit_bev', 'ebit_sale', 'eqnetis_at', 'fcf_me', 'ivol_capm_21d', 'ivol_capm_252d', 'ivol_ff3_21d', 'ivol_hxz4_21d', 'mispricing_perf', 'ni_be', 'niq_at', 'niq_be', 'op_atl1', 'prc', 'qmj_prof', 'ret_60_12', 'rmax1_21d', 'rmax5_21d', 'rvol_21d', 'seas_1_1an', 'seas_2_5na', 'tangibility', 'turnover_126d', 'zero_trades_126d', 'zero_trades_21d', 'zero_trades_252d']"
ic_top30,2025,30,"['bidaskhl_21d', 'chcsho_12m', 'corr_1260d', 'dsale_drec', 'ebit_bev', 'ebit_sale', 'eqnetis_at', 'eqnpo_12m', 'eqnpo_me', 'eqpo_me', 'fcf_me', 'ivol_capm_21d', 'ivol_capm_252d', 'ivol_ff3_21d', 'ivol_hxz4_21d', 'market_equity', 'mispricing_perf', 'ni_be', 'ni_ivol', 'niq_at', 'niq_be', 'op_atl1', 'rmax1_21d', 'rmax5_21d', 'rvol_21d', 'tangibility', 'turnover_126d', 'zero_trades_126d', 'zero_trades_21d', 'zero_trades_252d']"
ic_top30,2026,30,"['bidaskhl_21d', 'chcsho_12m', 'corr_1260d', 'ebit_bev', 'ebit_sale', 'eqnetis_at', 'eqnpo_12m', 'eqnpo_me', 'eqpo_me', 'fcf_me', 'ivol_capm_21d', 'ivol_capm_252d', 'ivol_ff3_21d', 'ivol_hxz4_21d', 'mispricing_perf', 'ni_be', 'niq_at', 'niq_be', 'ocf_at', 'op_at', 'op_atl1', 'ope_be', 'qmj_prof', 'rmax1_21d', 'rmax5_21d', 'rvol_21d', 'turnover_126d', 'zero_trades_126d', 'zero_trades_21d', 'zero_trades_252d']"
decorr_ic_top30,2021,30,"['aliq_mat', 'beta_60m', 'betabab_1260d', 'bev_mev', 'bidaskhl_21d', 'cash_at', 'corr_1260d', 'dbnetis_at', 'ebit_bev', 'ebit_sale', 'eqnetis_at', 'fcf_me', 'ivol_capm_252d', 'ivol_ff3_21d', 'kz_index', 'market_equity', 'mispricing_perf', 'netdebt_me', 'niq_at', 'noa_at', 'op_atl1', 'prc', 'qmj', 'qmj_prof', 'qmj_safety', 'ret_60_12', 'rmax5_21d', 'seas_1_1an', 'tangibility', 'zero_trades_126d']"
decorr_ic_top30,2022,30,"['aliq_mat', 'betabab_1260d', 'bidaskhl_21d', 'chcsho_12m', 'corr_1260d', 'ebit_bev', 'ebit_sale', 'eqnetis_at', 'eqpo_me', 'fcf_me', 'ivol_capm_252d', 'ivol_ff3_21d', 'kz_index', 'market_equity', 'mispricing_perf', 'ncol_gr1a', 'netdebt_me', 'ni_be', 'ni_ivol', 'niq_be', 'prc', 'qmj', 'qmj_prof', 'qmj_safety', 'ret_1_0', 'ret_60_12', 'rmax5_21d', 'seas_1_1an', 'tangibility', 'zero_trades_126d']"
decorr_ic_top30,2023,30,"['aliq_mat', 'at_gr1', 'bev_mev', 'bidaskhl_21d', 'cash_at', 'col_gr1a', 'corr_1260d', 'dsale_drec', 'ebit_bev', 'ebitda_mev', 'gp_atl1', 'ivol_capm_252d', 'ivol_ff3_21d', 'kz_index', 'mispricing_perf', 'netdebt_me', 'niq_be', 'ocf_me', 'op_atl1', 'prc', 'qmj_prof', 'rd_sale', 'ret_1_0', 'ret_60_12', 'rmax5_21d', 'sale_me', 'seas_1_1an', 'tangibility', 'z_score', 'zero_trades_126d']"
decorr_ic_top30,2024,30,"['aliq_mat', 'bidaskhl_21d', 'chcsho_12m', 'col_gr1a', 'corr_1260d', 'dsale_drec', 'ebit_bev', 'ebit_sale', 'eqnetis_at', 'eqpo_me', 'fcf_me', 'gp_atl1', 'ivol_capm_252d', 'ivol_ff3_21d', 'kz_index', 'market_equity', 'mispricing_perf', 'ni_be', 'ni_ivol', 'niq_be', 'op_atl1', 'prc', 'qmj', 'qmj_prof', 'ret_1_0', 'ret_60_12', 'seas_1_1an', 'tangibility', 'z_score', 'zero_trades_126d']"
decorr_ic_top30,2025,30,"['bidaskhl_21d', 'chcsho_12m', 'corr_1260d', 'div12m_me', 'dolvol_var_126d', 'dsale_drec', 'ebit_bev', 'ebit_sale', 'eqnetis_at', 'eqnpo_me', 'fcf_me', 'intrinsic_value', 'ivol_capm_252d', 'market_equity', 'mispricing_mgmt', 'mispricing_perf', 'ni_be', 'ni_ivol', 'niq_be', 'o_score', 'ocf_at', 'ocfq_saleq_std', 'op_atl1', 'ope_be', 'prc', 'qmj', 'qmj_safety', 'rmax5_21d', 'tangibility', 'zero_trades_252d']"
decorr_ic_top30,2026,30,"['bidaskhl_21d', 'chcsho_12m', 'corr_1260d', 'dolvol_var_126d', 'dsale_drec', 'ebit_bev', 'ebit_sale', 'eqnetis_at', 'eqnpo_me', 'fcf_me', 'intrinsic_value', 'ivol_capm_252d', 'ivol_ff3_21d', 'kz_index', 'market_equity', 'mispricing_mgmt', 'mispricing_perf', 'ni_be', 'ni_ivol', 'niq_be', 'o_score', 'ocf_at', 'ocfq_saleq_std', 'op_atl1', 'ope_be', 'prc', 'qmj', 'ret_60_12', 'tangibility', 'zero_trades_252d']"
sign_stable,2021,10,"['dbnetis_at', 'dsale_drec', 'ivol_ff3_21d', 'kz_index', 'niq_be', 'noa_at', 'ppeinv_gr1a', 'turnover_126d', 'zero_trades_126d', 'zero_trades_252d']"
sign_stable,2022,14,"['dbnetis_at', 'dsale_drec', 'ebit_sale', 'eqnetis_at', 'ivol_ff3_21d', 'kz_index', 'ncol_gr1a', 'niq_be', 'ret_60_12', 'seas_1_1an', 'tangibility', 'turnover_126d', 'zero_trades_126d', 'zero_trades_252d']"
sign_stable,2023,10,"['aliq_mat', 'debt_gr3', 'dsale_drec', 'fnl_gr1a', 'kz_index', 'ncol_gr1a', 'nfna_gr1a', 'ret_60_12', 'seas_2_5na', 'tangibility']"
sign_stable,2024,11,"['corr_1260d', 'dsale_drec', 'ebit_bev', 'eqnetis_at', 'kz_index', 'ncol_gr1a', 'niq_at', 'niq_be', 'ret_60_12', 'seas_1_1an', 'tangibility']"
sign_stable,2025,18,"['bidaskhl_21d', 'chcsho_12m', 'corr_1260d', 'dsale_drec', 'ebit_bev', 'ebit_sale', 'eqnetis_at', 'fcf_me', 'ivol_capm_252d', 'ivol_ff3_21d', 'ivol_hxz4_21d', 'niq_at', 'niq_be', 'rmax5_21d', 'tangibility', 'turnover_126d', 'zero_trades_126d', 'zero_trades_252d']"
sign_stable,2026,16,"['chcsho_12m', 'corr_1260d', 'dsale_drec', 'ebit_bev', 'ebit_sale', 'eqnetis_at', 'eqnpo_me', 'eqpo_me', 'fcf_me', 'ivol_ff3_21d', 'ivol_hxz4_21d', 'mispricing_mgmt', 'ni_be', 'niq_at', 'niq_be', 'tangibility']"
curated12,2021,12,"['qmj', 'qmj_prof', 'qmj_growth', 'mispricing_mgmt', 'mispricing_perf', 'niq_su', 'saleq_su', 'rmax5_21d', 'ivol_capm_21d', 'betabab_1260d', 'at_gr1', 'gp_at']"
curated12,2022,12,"['qmj', 'qmj_prof', 'qmj_growth', 'mispricing_mgmt', 'mispricing_perf', 'niq_su', 'saleq_su', 'rmax5_21d', 'ivol_capm_21d', 'betabab_1260d', 'at_gr1', 'gp_at']"
curated12,2023,12,"['qmj', 'qmj_prof', 'qmj_growth', 'mispricing_mgmt', 'mispricing_perf', 'niq_su', 'saleq_su', 'rmax5_21d', 'ivol_capm_21d', 'betabab_1260d', 'at_gr1', 'gp_at']"
curated12,2024,12,"['qmj', 'qmj_prof', 'qmj_growth', 'mispricing_mgmt', 'mispricing_perf', 'niq_su', 'saleq_su', 'rmax5_21d', 'ivol_capm_21d', 'betabab_1260d', 'at_gr1', 'gp_at']"
curated12,2025,12,"['qmj', 'qmj_prof', 'qmj_growth', 'mispricing_mgmt', 'mispricing_perf', 'niq_su', 'saleq_su', 'rmax5_21d', 'ivol_capm_21d', 'betabab_1260d', 'at_gr1', 'gp_at']"
curated12,2026,12,"['qmj', 'qmj_prof', 'qmj_growth', 'mispricing_mgmt', 'mispricing_perf', 'niq_su', 'saleq_su', 'rmax5_21d', 'ivol_capm_21d', 'betabab_1260d', 'at_gr1', 'gp_at']"
random30_s0,2021,30,"['be_me', 'beta_60m', 'betabab_1260d', 'betadown_252d', 'capx_gr1', 'capx_gr2', 'col_gr1a', 'cop_at', 'dsale_dsga', 'ebitda_mev', 'f_score', 'gp_atl1', 'iskew_capm_21d', 'ivol_capm_21d', 'lnoa_gr1a', 'nfna_gr1a', 'niq_be', 'niq_su', 'nncoa_gr1a', 'ope_bel1', 'prc', 'qmj_prof', 'rd_me', 'ret_60_12', 'rmax1_21d', 'rskew_21d', 'saleq_su', 'seas_2_5an', 'taccruals_at', 'zero_trades_126d']"
random30_s0,2022,30,"['age', 'aliq_at', 'at_turnover', 'betadown_252d', 'bev_mev', 'capx_gr3', 'coa_gr1a', 'dsale_dinv', 'ebit_bev', 'eq_dur', 'inv_gr1', 'iskew_hxz4_21d', 'lnoa_gr1a', 'mispricing_perf', 'netdebt_me', 'niq_be', 'niq_be_chg1', 'noa_at', 'ocf_me', 'qmj_safety', 'ret_1_0', 'ret_60_12', 'rskew_21d', 'rvol_21d', 'sale_gr3', 'sale_me', 'seas_2_5an', 'seas_2_5na', 'tangibility', 'tax_gr1a']"
random30_s0,2023,30,"['aliq_mat', 'at_gr1', 'bev_mev', 'cop_at', 'cop_atl1', 'coskew_21d', 'cowc_gr1a', 'dbnetis_at', 'dsale_drec', 'ebitda_mev', 'eq_dur', 'fcf_me', 'gp_at', 'iskew_capm_21d', 'iskew_hxz4_21d', 'ivol_capm_21d', 'kz_index', 'mispricing_perf', 'nfna_gr1a', 'ni_ar1', 'ni_be', 'ni_me', 'noa_gr1a', 'oaccruals_ni', 'qmj_growth', 'qmj_prof', 'rd_sale', 'saleq_su', 'seas_2_5an', 'sti_gr1a']"
random30_s0,2024,30,"['at_gr1', 'cash_at', 'dbnetis_at', 'div12m_me', 'dolvol_126d', 'dolvol_var_126d', 'ebit_bev', 'eq_dur', 'eqnpo_12m', 'eqnpo_me', 'eqpo_me', 'fcf_me', 'intrinsic_value', 'inv_gr1', 'ivol_capm_252d', 'kz_index', 'netdebt_me', 'netis_at', 'ni_ar1', 'ni_be', 'niq_be', 'ocf_me', 'qmj_prof', 'rd5_at', 'rvol_21d', 'sale_gr1', 'sale_me', 'seas_1_1an', 'turnover_126d', 'zero_trades_21d']"
random30_s0,2025,30,"['at_me', 'be_gr1a', 'capx_gr3', 'col_gr1a', 'corr_1260d', 'div12m_me', 'dolvol_126d', 'dsale_dsga', 'eq_dur', 'eqpo_me', 'f_score', 'fcf_me', 'fnl_gr1a', 'gp_at', 'gp_atl1', 'inv_gr1', 'iskew_capm_21d', 'ivol_capm_21d', 'lti_gr1a', 'ocf_at_chg1', 'ope_be', 'pi_nix', 'qmj', 'rmax5_rvol_21d', 'sale_gr3', 'seas_1_1na', 'seas_2_5na', 'turnover_var_126d', 'zero_trades_126d', 'zero_trades_252d']"
random30_s0,2026,30,"['at_be', 'at_gr1', 'be_me', 'beta_dimson_21d', 'bev_mev', 'cash_at', 'chcsho_12m', 'dbnetis_at', 'debt_gr3', 'div12m_me', 'ebit_sale', 'eqnpo_me', 'fcf_me', 'fnl_gr1a', 'gp_atl1', 'intrinsic_value', 'iskew_capm_21d', 'iskew_ff3_21d', 'kz_index', 'ncol_gr1a', 'nncoa_gr1a', 'ocf_me', 'ocfq_saleq_std', 'opex_at', 'pi_nix', 'ppeinv_gr1a', 'qmj_prof', 'sale_me', 'saleq_su', 'seas_1_1na']"
random30_s1,2021,30,"['at_gr1', 'beta_dimson_21d', 'bev_mev', 'bidaskhl_21d', 'capx_gr3', 'dgp_dsale', 'dsale_drec', 'eqnpo_me', 'eqpo_me', 'f_score', 'gp_atl1', 'inv_gr1', 'ivol_capm_252d', 'lti_gr1a', 'ni_be', 'ni_me', 'niq_be_chg1', 'noa_at', 'oaccruals_at', 'ocf_at_chg1', 'ocf_me', 'pi_nix', 'rd5_at', 'ret_1_0', 'ret_60_12', 'rmax1_21d', 'sale_gr3', 'seas_1_1na', 'taccruals_at', 'turnover_var_126d']"
random30_s1,2022,30,"['age', 'aliq_at', 'be_gr1a', 'be_me', 'beta_dimson_21d', 'coskew_21d', 'dgp_dsale', 'dsale_dinv', 'earnings_variability', 'f_score', 'fcf_me', 'inv_gr1a', 'ivol_capm_252d', 'ivol_hxz4_21d', 'lti_gr1a', 'ncoa_gr1a', 'netis_at', 'oaccruals_ni', 'op_at', 'op_atl1', 'qmj_prof', 'rmax1_21d', 'rmax5_rvol_21d', 'rvol_21d', 'sale_emp_gr1', 'sale_gr1', 'seas_1_1na', 'tangibility', 'turnover_126d', 'zero_trades_126d']"
random30_s1,2023,30,"['age', 'at_be', 'bev_mev', 'capx_gr1', 'cash_at', 'corr_1260d', 'dsale_dsga', 'earnings_variability', 'eqnetis_at', 'eqnpo_12m', 'iskew_ff3_21d', 'market_equity', 'ncoa_gr1a', 'ni_me', 'niq_at', 'niq_be', 'nncoa_gr1a', 'ocf_at_chg1', 'ocfq_saleq_std', 'ope_bel1', 'opex_at', 'pi_nix', 'qmj_prof', 'rd_sale', 'ret_1_0', 'ret_60_12', 'rmax5_rvol_21d', 'sale_me', 'saleq_su', 'taccruals_at']"
random30_s1,2024,30,"['age', 'at_be', 'at_me', 'at_turnover', 'beta_60m', 'chcsho_12m', 'col_gr1a', 'debt_me', 'eq_dur', 'eqnpo_12m', 'f_score', 'gp_at', 'iskew_capm_21d', 'iskew_ff3_21d', 'ivol_ff3_21d', 'lnoa_gr1a', 'mispricing_mgmt', 'ncoa_gr1a', 'netis_at', 'niq_at', 'noa_at', 'oaccruals_ni', 'ocf_at_chg1', 'op_atl1', 'ret_1_0', 'rmax5_21d', 'sale_gr3', 'saleq_su', 'seas_2_5na', 'tangibility']"
random30_s1,2025,30,"['aliq_mat', 'ami_126d', 'betadown_252d', 'cash_at', 'corr_1260d', 'debt_gr3', 'div12m_me', 'dsale_dinv', 'earnings_variability', 'eq_dur', 'eqpo_me', 'f_score', 'fnl_gr1a', 'mispricing_mgmt', 'netis_at', 'nfna_gr1a', 'ni_be', 'ni_inc8q', 'ni_me', 'prc', 'rd_me', 'rd_sale', 'rskew_21d', 'rvol_21d', 'sale_bev', 'sale_gr3', 'seas_1_1na', 'seas_2_5na', 'taccruals_at', 'turnover_var_126d']"
random30_s1,2026,30,"['bev_mev', 'capx_gr2', 'capx_gr3', 'cop_at', 'corr_1260d', 'cowc_gr1a', 'eq_dur', 'eqnpo_12m', 'eqnpo_me', 'gp_atl1', 'iskew_capm_21d', 'iskew_ff3_21d', 'ivol_capm_252d', 'mispricing_mgmt', 'netis_at', 'ni_ivol', 'niq_at', 'niq_at_chg1', 'niq_su', 'ope_bel1', 'opex_at', 'prc', 'qmj_prof', 'rmax5_21d', 'rskew_21d', 'sale_gr3', 'saleq_gr1', 'taccruals_ni', 'zero_trades_126d', 'zero_trades_21d']"
random30_s2,2021,30,"['age', 'beta_60m', 'beta_dimson_21d', 'betabab_1260d', 'bidaskhl_21d', 'corr_1260d', 'dbnetis_at', 'dgp_dsale', 'dsale_dinv', 'ebit_sale', 'emp_gr1', 'eqnetis_at', 'f_score', 'intrinsic_value', 'iskew_ff3_21d', 'ivol_capm_21d', 'mispricing_mgmt', 'mispricing_perf', 'ncol_gr1a', 'nfna_gr1a', 'ni_be', 'noa_at', 'ope_bel1', 'opex_at', 'pi_nix', 'qmj_growth', 'rmax5_rvol_21d', 'saleq_su', 'seas_2_5na', 'tax_gr1a']"
random30_s2,2022,30,"['age', 'at_be', 'be_gr1a', 'beta_dimson_21d', 'betadown_252d', 'bidaskhl_21d', 'chcsho_12m', 'coa_gr1a', 'col_gr1a', 'cowc_gr1a', 'debt_me', 'dolvol_var_126d', 'eq_dur', 'eqnpo_12m', 'gp_atl1', 'ivol_ff3_21d', 'ivol_hxz4_21d', 'ni_me', 'ocf_me', 'ocfq_saleq_std', 'ope_be', 'ope_bel1', 'opex_at', 'qmj_prof', 'qmj_safety', 'rd_sale', 'rmax5_rvol_21d', 'sale_me', 'tangibility', 'turnover_var_126d']"
random30_s2,2023,30,"['aliq_at', 'aliq_mat', 'be_gr1a', 'chcsho_12m', 'cop_atl1', 'dbnetis_at', 'debt_gr3', 'debt_me', 'div12m_me', 'dolvol_126d', 'dsale_dinv', 'emp_gr1', 'eq_dur', 'gp_atl1', 'intrinsic_value', 'iskew_hxz4_21d', 'ivol_capm_21d', 'ivol_ff3_21d', 'kz_index', 'ni_me', 'oaccruals_ni', 'ppeinv_gr1a', 'prc', 'qmj_safety', 'rd_sale', 'sale_emp_gr1', 'sale_gr1', 'seas_2_5an', 'seas_2_5na', 'zero_trades_21d']"
random30_s2,2024,30,"['age', 'bev_mev', 'capx_gr2', 'chcsho_12m', 'cop_at', 'cop_atl1', 'debt_gr3', 'div12m_me', 'dsale_dinv', 'dsale_dsga', 'ebitda_mev', 'eq_dur', 'f_score', 'gp_at', 'gp_atl1', 'lnoa_gr1a', 'lti_gr1a', 'mispricing_perf', 'netdebt_me', 'ocf_at_chg1', 'ocfq_saleq_std', 'qmj_growth', 'qmj_prof', 'rd_me', 'ret_1_0', 'sale_me', 'seas_2_5an', 'seas_2_5na', 'turnover_126d', 'z_score']"
random30_s2,2025,30,"['capx_gr1', 'capx_gr2', 'cash_at', 'chcsho_12m', 'coa_gr1a', 'corr_1260d', 'coskew_21d', 'eqnpo_12m', 'inv_gr1a', 'ivol_capm_21d', 'ivol_capm_252d', 'kz_index', 'lti_gr1a', 'ni_ivol', 'ni_me', 'niq_at_chg1', 'oaccruals_at', 'oaccruals_ni', 'op_atl1', 'ope_bel1', 'opex_at', 'rd_sale', 'rmax5_21d', 'rvol_21d', 'sale_bev', 'seas_1_1an', 'tangibility', 'turnover_var_126d', 'zero_trades_126d', 'zero_trades_252d']"
random30_s2,2026,30,"['at_gr1', 'cash_at', 'col_gr1a', 'cop_at', 'div12m_me', 'dsale_drec', 'earnings_variability', 'inv_gr1', 'inv_gr1a', 'lti_gr1a', 'ncol_gr1a', 'ni_ar1', 'nncoa_gr1a', 'pi_nix', 'ppeinv_gr1a', 'prc', 'rd_me', 'ret_1_0', 'rvol_21d', 'sale_bev', 'sale_emp_gr1', 'saleq_su', 'seas_1_1na', 'seas_2_5an', 'sti_gr1a', 'taccruals_at', 'taccruals_ni', 'tangibility', 'turnover_var_126d', 'z_score']"
random30_s3,2021,30,"['at_gr1', 'at_me', 'betabab_1260d', 'bev_mev', 'capex_abn', 'capx_gr2', 'cop_at', 'coskew_21d', 'dbnetis_at', 'earnings_variability', 'ebitda_mev', 'f_score', 'inv_gr1', 'iskew_ff3_21d', 'ivol_capm_252d', 'ivol_ff3_21d', 'kz_index', 'niq_su', 'nncoa_gr1a', 'noa_at', 'oaccruals_ni', 'op_at', 'op_atl1', 'ope_bel1', 'pi_nix', 'sale_bev', 'sale_emp_gr1', 'saleq_su', 'turnover_126d', 'zero_trades_252d']"
random30_s3,2022,30,"['be_gr1a', 'capex_abn', 'cop_at', 'coskew_21d', 'dbnetis_at', 'debt_me', 'dsale_drec', 'dsale_dsga', 'gp_atl1', 'intrinsic_value', 'inv_gr1', 'iskew_capm_21d', 'ivol_hxz4_21d', 'kz_index', 'lti_gr1a', 'market_equity', 'netdebt_me', 'netis_at', 'ni_inc8q', 'ni_ivol', 'ni_me', 'niq_at_chg1', 'noa_at', 'qmj', 'qmj_growth', 'rmax1_21d', 'rmax5_rvol_21d', 'saleq_su', 'taccruals_ni', 'turnover_var_126d']"
random30_s3,2023,30,"['age', 'aliq_mat', 'at_me', 'be_gr1a', 'beta_60m', 'betabab_1260d', 'bidaskhl_21d', 'chcsho_12m', 'dbnetis_at', 'div12m_me', 'dsale_drec', 'emp_gr1', 'eq_dur', 'eqnetis_at', 'eqnpo_12m', 'f_score', 'fnl_gr1a', 'iskew_hxz4_21d', 'mispricing_mgmt', 'mispricing_perf', 'noa_gr1a', 'o_score', 'ocfq_saleq_std', 'qmj', 'qmj_growth', 'rd_me', 'ret_60_12', 'seas_1_1an', 'seas_1_1na', 'tax_gr1a']"
random30_s3,2024,30,"['age', 'at_gr1', 'betabab_1260d', 'bev_mev', 'capx_gr1', 'chcsho_12m', 'cowc_gr1a', 'dbnetis_at', 'debt_me', 'dgp_dsale', 'dsale_drec', 'dsale_dsga', 'ebit_sale', 'eqnpo_me', 'f_score', 'fcf_me', 'iskew_hxz4_21d', 'ivol_capm_252d', 'mispricing_mgmt', 'ni_inc8q', 'ni_ivol', 'niq_su', 'ppeinv_gr1a', 'qmj', 'rd_me', 'seas_2_5na', 'tax_gr1a', 'turnover_126d', 'z_score', 'zero_trades_21d']"
random30_s3,2025,30,"['capex_abn', 'capx_gr3', 'coa_gr1a', 'corr_1260d', 'dsale_dsga', 'ebit_sale', 'emp_gr1', 'gp_at', 'intrinsic_value', 'ivol_hxz4_21d', 'lnoa_gr1a', 'niq_su', 'op_at', 'ope_be', 'ope_bel1', 'ppeinv_gr1a', 'qmj_growth', 'rd_me', 'ret_60_12', 'rmax1_21d', 'rvol_21d', 'sale_bev', 'sale_gr3', 'sale_me', 'saleq_su', 'seas_2_5na', 'taccruals_ni', 'tangibility', 'tax_gr1a', 'turnover_126d']"
random30_s3,2026,30,"['ami_126d', 'be_gr1a', 'beta_60m', 'beta_dimson_21d', 'betabab_1260d', 'bev_mev', 'dbnetis_at', 'debt_gr3', 'div12m_me', 'dolvol_126d', 'ebitda_mev', 'emp_gr1', 'eqnpo_me', 'iskew_capm_21d', 'mispricing_mgmt', 'nfna_gr1a', 'niq_at', 'niq_su', 'o_score', 'oaccruals_at', 'ocf_at', 'ope_be', 'prc', 'qmj_prof', 'ret_1_0', 'rvol_21d', 'sale_me', 'seas_2_5na', 'taccruals_ni', 'z_score']"
