target_month,permno,ticker,company_name,weight,ret_exc_lead1m,pred
2021-01-31,16921,ANGI,ANGI HOMESERVICES INC,0.01,0.059446000000000006,0.02822950932816109
2021-01-31,76128,VICR,VICOR CORP,0.01,-0.061638,0.02819931129981122
2021-01-31,13318,YELP,YELP INC,0.01,-0.002495,0.028112370402161264
2021-01-31,18973,BRC,BRADY CORP,0.01,-0.127303,0.028048800896458555
2021-01-31,49656,BK,BANK OF NEW YORK MELLON CORP,0.01,-0.05424,0.027769169453807373
2021-01-31,12503,NAV,NAVISTAR INTERNATIONAL CORP,0.01,0.000864,0.02776424021163649
2021-01-31,13625,SSTK,SHUTTERSTOCK INC,0.01,-0.09363,0.02755891483830736
2021-01-31,15707,HPE,HEWLETT PACKARD ENTERPRISE CO,0.01,0.041304,0.027428645209063622
2021-01-31,50948,SMTC,SEMTECH CORP,0.01,-0.015860000000000003,0.027298720361938
2021-01-31,57904,AFL,AFLAC INC,0.01,0.01592,0.027287332987337792
2021-01-31,92596,IRDM,IRIDIUM COMMUNICATIONS INC,0.01,0.252847,0.027104905269779815
2021-01-31,77366,ELY,CALLAWAY GOLF CO,0.01,0.161553,0.027016389622853573
2021-01-31,14521,TNET,TRINET GROUP INC,0.01,-0.080567,0.02697445439929702
2021-01-31,19506,VERX,VERTEX INC,0.01,-0.057435,0.02684570767557262
2021-01-31,27888,CFR,CULLEN FROST BANKERS INC,0.01,0.057388,0.026666257161543815
2021-01-31,89800,NTGR,NETGEAR INC,0.01,0.018659,0.02662103405981361
2021-01-31,19495,DNB,DUN & BRADSTREET HOLDINGS INC,0.01,-0.050247,0.026619354211487957
2021-01-31,18592,CTVA,CORTEVA INC,0.01,0.029396,0.026576527532493822
2021-01-31,57808,VSH,VISHAY INTERTECHNOLOGY INC,0.01,0.040514,0.026401997336521717
2021-01-31,19178,REYN,REYNOLDS CONSUMER PRODUCTS INC,0.01,-0.001378,0.026179896930544337
2021-01-31,89258,PRU,PRUDENTIAL FINANCIAL INC,0.01,0.002644,0.025994332835094155
2021-01-31,84172,NUS,NU SKIN ENTERPRISES INC,0.01,0.059262,0.025956217405419188
2021-01-31,13046,UI,UBIQUITI INC,0.01,0.105803,0.02589586698099858
2021-01-31,19081,SITM,SITIME CORP,0.01,0.09036799999999999,0.025714473468711887
2021-01-31,79878,UFPI,U F P INDUSTRIES INC,0.01,-0.029029,0.025432897326039726
2021-01-31,82486,ERIE,ERIE INDEMNITY CO,0.01,-0.005973,0.025424579367537028
2021-01-31,23473,CINF,CINCINNATI FINANCIAL CORP,0.01,-0.037587999999999996,0.025412558632898583
2021-01-31,76868,AAON,AAON INC,0.01,0.110565,0.025393809606958445
2021-01-31,85002,SRPT,SAREPTA THERAPEUTICS INC,0.01,-0.475675,0.025344776467567783
2021-01-31,78081,LGND,LIGAND PHARMACEUTICALS INC,0.01,0.8637050000000001,0.025323124607087088
2021-01-31,15623,HLI,HOULIHAN LOKEY INC,0.01,-0.035447,0.025298636261719635
2021-01-31,10606,WTS,WATTS WATER TECHNOLOGIES INC,0.01,-0.013439999999999999,0.025290548256029687
2021-01-31,89031,AAXN,AXON ENTERPRISE INC,0.01,0.339708,0.025179836788480386
2021-01-31,61313,DCI,DONALDSON INC,0.01,0.063662,0.025171231614850742
2021-01-31,18539,HYLN,HYLIION HOLDINGS CORP,0.01,0.007842,0.025145865750790905
2021-01-31,13169,ZNGA,ZYNGA INC,0.01,0.004007,0.025143040189986414
2021-01-31,89395,PNFP,PINNACLE FINANCIAL PARTNERS INC,0.01,0.064084,0.025053531469486464
2021-01-31,59408,BAC,BANK OF AMERICA CORP,0.01,-0.021821,0.025012705471821044
2021-01-31,91277,QRTEA,QURATE RETAIL INC,0.01,0.148541,0.02480502767473982
2021-01-31,90177,ACAD,ACADIA PHARMACEUTICALS,0.01,-0.101243,0.024635539407712837
2021-01-31,86432,PB,PROSPERITY BANCSHARES INC,0.01,-0.027728,0.024626765764344586
2021-01-31,76752,PRGS,PROGRESS SOFTWARE CORP,0.01,-0.11091100000000001,0.024623766022048944
2021-01-31,68196,SEIC,S E I INVESTMENTS CO,0.01,-0.08043600000000001,0.024545493950918637
2021-01-31,91832,MDGL,MADRIGAL PHARMACEUTICALS INC,0.01,0.068228,0.024433585438593114
2021-01-31,19679,GDRX,GOODRX HOLDINGS INC,0.01,0.15563100000000002,0.024403726189190587
2021-01-31,90377,ONTO,ONTO INNOVATION INC,0.01,0.136652,0.024189882308380112
2021-01-31,81678,LECO,LINCOLN ELECTRIC HOLDINGS INC,0.01,-0.015099999999999999,0.024102976191024975
2021-01-31,13816,MODN,MODEL N INC,0.01,-0.047692,0.024018929189075413
2021-01-31,19393,BMY,BRISTOL MYERS SQUIBB CO,0.01,-0.009718999999999998,0.02398014520303054
2021-01-31,59396,ORI,OLD REPUBLIC INTERNATIONAL CORP,0.01,-0.031521999999999994,0.02396874141316988
2021-01-31,90037,HTH,HILLTOP HOLDINGS INC,0.01,0.09192099999999999,0.023948702103425524
2021-01-31,75603,CRUS,CIRRUS LOGIC INC,0.01,0.139735,0.023831843469862144
2021-01-31,17684,AHCO,ADAPTHEALTH CORP,0.01,0.018857,0.023829863427106506
2021-01-31,80864,RS,RELIANCE STEEL & ALUMINUM CO,0.01,-0.030693,0.023790870163472103
2021-01-31,39571,GGG,GRACO INC,0.01,-0.044749,0.023707423419111497
2021-01-31,19953,CCCC,C4 THERAPEUTICS INC,0.01,0.090205,0.023540472271095993
2021-01-31,13181,GWRE,GUIDEWIRE SOFTWARE INC,0.01,-0.108723,0.023507736503182938
2021-01-31,11369,UBSI,UNITED BANKSHARES INC,0.01,-0.022886,0.023494308305722886
2021-01-31,60442,PNC,P N C FINANCIAL SERVICES GRP INC,0.01,-0.029668,0.023444551072821947
2021-01-31,76392,MMSI,MERIT MEDICAL SYSTEMS INC,0.01,-0.024546000000000002,0.023433087217753914
2021-01-31,80575,SSD,SIMPSON MANUFACTURING CO INC,0.01,-0.013257999999999999,0.02341486664737383
2021-01-31,47896,JPM,JPMORGAN CHASE & CO,0.01,0.019798,0.023326012751497305
2021-01-31,14939,KEYS,KEYSIGHT TECHNOLOGIES INC,0.01,0.071875,0.02332593807373338
2021-01-31,18203,KOD,KODIAK SCIENCES INC,-0.01,-0.140268,-0.02328783391477886
2021-01-31,89453,RRGB,RED ROBIN GOURMET BURGERS INC,-0.01,0.361888,-0.02334353597408048
2021-01-31,14436,RARE,ULTRAGENYX PHARMACEUTICALS INC,-0.01,0.0011099999999999999,-0.023522042030961504
2021-01-31,89353,JBLU,JETBLUE AIRWAYS CORP,-0.01,-0.013800999999999999,-0.023705465226562472
2021-01-31,16303,NOVN,NOVAN INC,-0.01,0.402168,-0.023919305984446023
2021-01-31,14312,HMHC,HOUGHTON MIFFLIN HARCOURT CO,-0.01,0.480434,-0.023983210209196814
2021-01-31,16436,ARCH,ARCH RESOURCES INC,-0.01,0.09476799999999999,-0.024140425411319173
2021-01-31,91103,UAL,UNITED AIRLINES HOLDINGS INC,-0.01,-0.075422,-0.02462418481885414
2021-01-31,88511,CRIS,CURIS INC,-0.01,0.27590000000000003,-0.02483766280240348
2021-01-31,16188,TPIC,T P I COMPOSITES INC,-0.01,0.135043,-0.025001066969574312
2021-01-31,14608,SABR,SABRE CORP,-0.01,-0.10320700000000001,-0.025242032400006723
2021-01-31,89449,KIRK,KIRKLANDS INC,-0.01,0.423891,-0.025385193299952813
2021-01-31,84062,BJRI,BJS RESTAURANTS INC,-0.01,0.214295,-0.02539889758467898
2021-01-31,19497,LMND,LEMONADE INC,-0.01,0.185668,-0.025420917843124367
2021-01-31,77902,CAKE,CHEESECAKE FACTORY INC,-0.01,0.213392,-0.025741156483451273
2021-01-31,15198,NVTA,INVITAE CORP,-0.01,0.18436,-0.02653102391495964
2021-01-31,19228,BEAM,BEAM THERAPEUTICS INC,-0.01,0.181115,-0.027066619256721842
2021-01-31,17367,LPRO,OPEN LENDING CORP,-0.01,0.037998000000000004,-0.027449070709475092
2021-01-31,91915,CNK,CINEMARK HOLDINGS INC,-0.01,0.162504,-0.027472966128279663
2021-01-31,14161,FPRX,FIVE PRIME THERAPEUTICS INC,-0.01,-0.017095000000000003,-0.027541684683891385
2021-01-31,15381,OPGN,OPGEN INC,-0.01,0.06368,-0.027655637935788388
2021-01-31,13411,CRDF,CARDIFF ONCOLOGY INC,-0.01,-0.344126,-0.027661196931177124
2021-01-31,57913,VXRT,VAXART INC,-0.01,1.098028,-0.027693281170607115
2021-01-31,13453,CEMI,CHEMBIO DIAGNOSTICS INC,-0.01,0.387322,-0.027843469685493432
2021-01-31,88173,LXRX,LEXICON PHARMACEUTICALS INC,-0.01,1.312819,-0.02845378612121072
2021-01-31,15431,MCRB,SERES THERAPEUTICS INC,-0.01,-0.030658,-0.028891139228181383
2021-01-31,18368,NFE,NEW FORTRESS ENERGY INC,-0.01,-0.16630799999999998,-0.028977910700618333
2021-01-31,63765,SWN,SOUTHWESTERN ENERGY CO,-0.01,0.265055,-0.02923476005404704
2021-01-31,16712,VERI,VERITONE INC,-0.01,0.38027,-0.02929495103221458
2021-01-31,77462,M,MACYS INC,-0.01,0.336843,-0.02962211549078186
2021-01-31,78170,SM,S M ENERGY CO,-0.01,0.370869,-0.02964699051079613
2021-01-31,93423,SIX,SIX FLAGS ENTERTAINMENT CORP,-0.01,0.002887,-0.029875846036283803
2021-01-31,27422,CLF,CLEVELAND CLIFFS INC NEW,-0.01,0.053525,-0.03033339676294586
2021-01-31,15186,VUZI,VUZIX CORP,-0.01,0.216914,-0.030726202125718794
2021-01-31,17313,BLNK,BLINK CHARGING CO,-0.01,0.15621100000000002,-0.031846262074265864
2021-01-31,86165,PEIX,PACIFIC ETHANOL INC,-0.01,0.24857300000000002,-0.03212301309699127
2021-01-31,18937,SBE,SWITCHBACK ENERGY ACQ CORP,-0.01,-0.050445,-0.032148696184139014
2021-01-31,10253,DSS,DOCUMENT SECURITY SYSTEMS INC,-0.01,-0.355815,-0.03220436134576846
2021-01-31,90808,EXPE,EXPEDIA GROUP INC,-0.01,-0.062735,-0.03312901076170069
2021-01-31,57817,JWN,NORDSTROM INC,-0.01,0.135808,-0.033190177804180675
2021-01-31,81666,HA,HAWAIIAN HOLDINGS INC,-0.01,0.10560399999999999,-0.03343034597024305
2021-01-31,21020,AAL,AMERICAN AIRLINES GROUP INC,-0.01,0.08872999999999999,-0.03347739177218799
2021-01-31,92213,RIOT,RIOT BLOCKCHAIN INC,-0.01,0.20772300000000002,-0.03349299300353694
2021-01-31,13730,PBF,P B F ENERGY INC,-0.01,0.192912,-0.03451184718257582
2021-01-31,18195,EQ,EQUILLIUM INC,-0.01,0.07098199999999999,-0.03496310618924524
2021-01-31,19312,GHIV,GORES HOLDINGS IV INC,-0.01,-0.245286,-0.03508459104785976
2021-01-31,12360,PACB,PACIFIC BIOSCIENCES CALIF INC,-0.01,0.247063,-0.03534469331760565
2021-01-31,16528,POLA,POLAR POWER INC,-0.01,3.0962889999999996,-0.03592044942402185
2021-01-31,15014,PLAY,DAVE & BUSTERS ENTERTAINMENT INC,-0.01,0.133199,-0.03600440940873445
2021-01-31,17107,BOXL,BOXLIGHT CORP,-0.01,0.339823,-0.03610022193338052
2021-01-31,16999,RMBL,RUMBLEON INC,-0.01,0.218166,-0.03644298699560089
2021-01-31,12527,IBIO,IBIO INC,-0.01,0.523764,-0.036490945563697634
2021-01-31,76644,X,UNITED STATES STEEL CORP NEW,-0.01,0.058988000000000006,-0.036707718086612856
2021-01-31,89301,GME,GAMESTOP CORP NEW,-0.01,16.250484999999998,-0.036791864597742065
2021-01-31,90751,DBI,DESIGNER BRANDS INC,-0.01,0.601261,-0.036834471352232806
2021-01-31,14580,MGNI,MAGNITE INC,-0.01,0.127925,-0.03683583351832265
2021-01-31,19230,CIIC,CIIG MERGER CORP,-0.01,-0.041652999999999996,-0.03694487913757548
2021-01-31,16463,GNUS,GENIUS BRANDS INTERNATIONAL INC,-0.01,0.289809,-0.03734118277404122
2021-01-31,80306,BCRX,BIOCRYST PHARMACEUTICALS INC,-0.01,0.143578,-0.03747152115719581
2021-01-31,19599,QS,QUANTUMSCAPE CORP,-0.01,-0.48198799999999997,-0.03856591261383365
2021-01-31,19338,SKLZ,SKILLZ INC,-0.01,0.380954,-0.03859846780781414
2021-01-31,17977,TLRY,TILRAY INC,-0.01,1.191237,-0.0385989793442447
2021-01-31,14720,UAVS,AGEAGLE AERIAL SYSTEMS INC,-0.01,0.628287,-0.038856192000334494
2021-01-31,92589,KNDI,KANDI TECHNOLOGIES GROUP INC,-0.01,0.289809,-0.039367523802716915
2021-01-31,18214,TWST,TWIST BIOSCIENCE CORP,-0.01,0.16450900000000002,-0.04004547610087777
2021-01-31,14107,TNXP,TONIX PHARMACEUTICALS HLDG CORP,-0.01,0.449732,-0.04004675746595276
2021-01-31,79586,FTEK,FUEL TECH INC,-0.01,0.296346,-0.04038941669683547
2021-01-31,91594,SPR,SPIRIT AEROSYSTEMS HOLDINGS INC,-0.01,-0.13358399999999998,-0.04048575990794449
2021-01-31,12350,NETE,NET ELEMENT INC,-0.01,-0.097537,-0.04053313685761297
2021-01-31,77699,FCEL,FUELCELL ENERGY INC,-0.01,0.858504,-0.04069446486702933
2021-01-31,17821,SRRK,SCHOLAR ROCK HOLDING CORP,-0.01,0.229297,-0.04085884493134239
2021-01-31,90978,SPWR,SUNPOWER CORP,-0.01,1.106428,-0.04154208063630159
2021-01-31,87337,PLUG,PLUG POWER INC,-0.01,0.862826,-0.0416840644404622
2021-01-31,18533,RMO,ROMEO POWER INC,-0.01,-0.209917,-0.04188166367842579
2021-01-31,15056,ADMA,ADMA BIOLOGICS INC,-0.01,0.138416,-0.042522712754937644
2021-01-31,90029,DVAX,DYNAVAX TECHNOLOGIES CORP,-0.01,0.417932,-0.04341265841066438
2021-01-31,80926,CPE,CALLON PETROLEUM CO DEL,-0.01,0.051626000000000005,-0.0438139475077467
2021-01-31,90640,AYRO,AYRO INC,-0.01,0.096994,-0.048019085416997016
2021-01-31,12579,GEVO,GEVO INC,-0.01,1.390542,-0.048180671011586455
2021-01-31,16146,APVO,APTEVO THERAPEUTICS INC,-0.01,-0.085994,-0.05017696697186201
2021-01-31,15375,JAGX,JAGUAR HEALTH INC,-0.01,2.4600769999999996,-0.051959699653068556
2021-01-31,18102,BNGO,BIONANO GENOMICS INC,-0.01,2.5876159999999997,-0.052013630399597326
2021-01-31,16927,FUV,ARCIMOTO INC,-0.01,0.634119,-0.052644165681012586
2021-01-31,18894,BCDA,BIOCARDIA INC,-0.01,0.187815,-0.05312853325484582
2021-01-31,90031,ONCT,ONCTERNAL THERAPEUTICS INC,-0.01,0.10403599999999999,-0.054037281219004356
2021-01-31,83885,MVIS,MICROVISION INC WA,-0.01,0.320586,-0.055247895199353865
2021-01-31,14934,NXTD,NXT ID INC,-0.01,-0.218796,-0.05540728133687531
2021-01-31,91201,IGC,INDIA GLOBALIZATION CAPITAL INC,-0.01,0.019185,-0.055833531764425647
2021-01-31,14813,MARA,MARATHON PATENT GROUP INC,-0.01,0.986544,-0.05717282183659137
2021-01-31,18553,BEEM,BEAM GLOBAL,-0.01,-0.230461,-0.05760358736820503
2021-01-31,91964,OPTT,OCEAN POWER TECHNOLOGIES INC,-0.01,0.49066,-0.05768477169872228
2021-01-31,91269,CBAT,C B A K ENERGY TECHNOLOGY INC,-0.01,0.454499,-0.06322696232744227
2021-01-31,16541,AQB,AQUABOUNTY TECHNOLOGIES INC,-0.01,0.138082,-0.0637276418279787
2021-01-31,84302,DPW,D P W HOLDINGS INC,-0.01,0.066621,-0.06501996248535688
2021-01-31,14276,KODK,EASTMAN KODAK CO,-0.01,0.17808700000000002,-0.06581223828698295
2021-01-31,15132,OCGN,OCUGEN INC,-0.01,-0.032832999999999994,-0.06657976667342877
2021-01-31,92594,SLS,SELLAS LIFE SCIENCES GROUP INC,-0.01,0.049868,-0.0674277729286105
2021-01-31,15273,SUNW,SUNWORKS INC,-0.01,2.4647979999999996,-0.0694800073790759
2021-01-31,75672,WWR,WESTWATER RESOURCES INC,-0.01,0.294072,-0.07235336932737531
2021-01-31,19831,GLSI,GREENWICH LIFESCIENCES INC,-0.01,0.028196,-0.0774902780799603
2021-02-28,78829,UMBF,U M B FINANCIAL CORP,0.01,0.18876700000000002,0.04485419539630513
2021-02-28,15284,BPMC,BLUEPRINT MEDICINES CORP,0.01,0.015149,0.04395335918381587
2021-02-28,17688,GSHD,GOOSEHEAD INSURANCE INC,0.01,-0.030434,0.0398975071684194
2021-02-28,11018,FBP,FIRST BANCORP P R,0.01,0.16026500000000002,0.03749674886439801
2021-02-28,14359,XNCR,XENCOR INC,0.01,0.07689499999999999,0.03649586612277746
2021-02-28,89800,NTGR,NETGEAR INC,0.01,-0.033628000000000005,0.0353761146569022
2021-02-28,90162,GNW,GENWORTH FINANCIAL INC,0.01,0.098547,0.03529765680729146
2021-02-28,14889,CFG,CITIZENS FINANCIAL GROUP INC,0.01,0.20428300000000002,0.03493806189365573
2021-02-28,49656,BK,BANK OF NEW YORK MELLON CORP,0.01,0.058454,0.03439912162592817
2021-02-28,16921,ANGI,ANGI HOMESERVICES INC,0.01,0.068982,0.034383695661770665
2021-02-28,89395,PNFP,PINNACLE FINANCIAL PARTNERS INC,0.01,0.18729500000000002,0.034222702055693936
2021-02-28,16505,BPOP,POPULAR INC,0.01,0.1774,0.0341763532848485
2021-02-28,85020,PPBI,PACIFIC PREMIER BANCORP INC,0.01,0.22207400000000002,0.034054480122650124
2021-02-28,68196,SEIC,S E I INVESTMENTS CO,0.01,0.059558,0.03346968234573188
2021-02-28,15065,FGEN,FIBROGEN INC,0.01,0.038353,0.03335947958436486
2021-02-28,84389,SSB,SOUTH STATE CORP,0.01,0.137491,0.03290226421949482
2021-02-28,15707,HPE,HEWLETT PACKARD ENTERPRISE CO,0.01,0.17985800000000002,0.03283394038390343
2021-02-28,87842,MET,METLIFE INC,0.01,0.206819,0.03279282791604973
2021-02-28,68292,SIGI,SELECTIVE INSURANCE GROUP INC,0.01,0.047610999999999994,0.032742364679776995
2021-02-28,91356,HOMB,HOME BANCSHARES INC,0.01,0.15963000000000002,0.03253084796216866
2021-02-28,59408,BAC,BANK OF AMERICA CORP,0.01,0.17061300000000001,0.03252989816881279
2021-02-28,85002,SRPT,SAREPTA THERAPEUTICS INC,0.01,-0.02622,0.03250498995648186
2021-02-28,93264,IRWD,IRONWOOD PHARMACEUTICALS INC,0.01,-0.096914,0.03233909968948554
2021-02-28,18973,BRC,BRADY CORP,0.01,0.14153600000000002,0.032238354875443534
2021-02-28,59396,ORI,OLD REPUBLIC INTERNATIONAL CORP,0.01,0.067911,0.031959321374616
2021-02-28,77526,RNST,RENASANT CORP,0.01,0.10955999999999999,0.0318361635847319
2021-02-28,89946,AEL,AMERICAN EQUITY INVT LIFE HLDG C,0.01,-0.053488,0.03180098876487552
2021-02-28,19854,EBC,EASTERN BANKSHARES INC,0.01,0.104723,0.031771578857612684
2021-02-28,16632,HLNE,HAMILTON LANE INC,0.01,0.18610300000000002,0.031714208622575
2021-02-28,13837,EVTC,EVERTEC INC,0.01,0.122433,0.031640716845581465
2021-02-28,65294,RLI,R L I CORP,0.01,0.080528,0.03128718415527799
2021-02-28,86047,AMKR,AMKOR TECHNOLOGY INC,0.01,0.541853,0.031182857700544124
2021-02-28,82598,NTAP,NETAPP INC,0.01,-0.057842000000000005,0.031114556194525436
2021-02-28,79824,FFIN,FIRST FINANCIAL BANKSHARES INC,0.01,0.17894100000000002,0.03100642550842727
2021-02-28,38659,GNTX,GENTEX CORP,0.01,0.070454,0.030815734670421688
2021-02-28,92469,SATS,ECHOSTAR CORP,0.01,0.084005,0.03050446401437256
2021-02-28,16253,FHB,FIRST HAWAIIAN INC,0.01,0.210868,0.03049638230958896
2021-02-28,13318,YELP,YELP INC,0.01,0.157058,0.030474766742786142
2021-02-28,77366,ELY,CALLAWAY GOLF CO,0.01,0.0021060000000000002,0.03020145491112448
2021-02-28,13046,UI,UBIQUITI INC,0.01,0.036613,0.02965166661211016
2021-02-28,72726,STT,STATE STREET CORP,0.01,0.039526,0.02952161808299834
2021-02-28,76261,EXPO,EXPONENT INC,0.01,0.168156,0.029342387485210814
2021-02-28,10606,WTS,WATTS WATER TECHNOLOGIES INC,0.01,-0.047934000000000004,0.029265588980092298
2021-02-28,58246,NTRS,NORTHERN TRUST CORP,0.01,0.066554,0.029260522181531193
2021-02-28,13181,GWRE,GUIDEWIRE SOFTWARE INC,0.01,-0.032728,0.02916270352275746
2021-02-28,89826,TCBI,TEXAS CAPITAL BANCSHARES INC,0.01,0.26531499999999997,0.029151393112383777
2021-02-28,12073,PBCT,PEOPLES UNITED FINANCIAL INC,0.01,0.313279,0.028859017915329556
2021-02-28,90090,SBNY,SIGNATURE BANK NEW YORK N Y,0.01,0.321706,0.028772898783901633
2021-02-28,19200,SDGR,SCHRODINGER INC,0.01,0.134462,0.028741940191752705
2021-02-28,86719,EWBC,EAST WEST BANCORP INC,0.01,0.20985600000000001,0.02869481750953566
2021-02-28,87034,LII,LENNOX INTERNATIONAL INC,0.01,0.015491,0.028689042910662627
2021-02-28,47896,JPM,JPMORGAN CHASE & CO,0.01,0.143734,0.028550311262799194
2021-02-28,14691,CBAY,CYMABAY THERAPEUTICS INC,0.01,-0.10284900000000001,0.02848337234857121
2021-02-28,13625,SSTK,SHUTTERSTOCK INC,0.01,0.357548,0.02840517797003257
2021-02-28,37568,FELE,FRANKLIN ELECTRIC INC,0.01,0.083844,0.028395563104850117
2021-02-28,16648,SNDR,SCHNEIDER NATIONAL INC,0.01,0.101384,0.028392551565837545
2021-02-28,25081,CMA,COMERICA INC,0.01,0.19051400000000002,0.02832985509959153
2021-02-28,15623,HLI,HOULIHAN LOKEY INC,0.01,-0.019937,0.028205500818177215
2021-02-28,13410,SUPN,SUPERNUS PHARMACEUTICALS INC,0.01,-0.085789,0.02819867296938196
2021-02-28,17855,AVLR,AVALARA INC,0.01,0.046222,0.028074931111793114
2021-02-28,18064,FTDR,FRONTDOOR INC,0.01,-0.048555,0.027981088887583206
2021-02-28,11369,UBSI,UNITED BANKSHARES INC,0.01,0.167043,0.027846099399576437
2021-02-28,85348,YUM,YUM BRANDS INC,0.01,0.024891,0.027405292978023757
2021-02-28,35044,RF,REGIONS FINANCIAL CORP NEW,0.01,0.21277100000000002,0.02734925815925369
2021-02-28,93132,FTNT,FORTINET INC,0.01,0.166449,0.027348410191722457
2021-02-28,76128,VICR,VICOR CORP,0.01,0.138041,0.02734597316058124
2021-02-28,14983,W,WAYFAIR INC,0.01,0.061133,0.027298722590314947
2021-02-28,86896,CBU,COMMUNITY BANK SYSTEM INC,0.01,0.097719,0.02715105525350892
2021-02-28,36397,FHN,FIRST HORIZON CORP,0.01,0.16626200000000002,0.02708199582580963
2021-02-28,89323,UCBI,UNITED COMMUNITY BANKS INC GA,0.01,0.108235,0.02704313438551989
2021-02-28,90377,ONTO,ONTO INNOVATION INC,0.01,0.15555200000000002,0.02704221162997433
2021-02-28,16304,NTNX,NUTANIX INC,0.01,-0.007745,0.02700515557090319
2021-02-28,19495,DNB,DUN & BRADSTREET HOLDINGS INC,0.01,-0.07573200000000001,0.02691136587484129
2021-02-28,76392,MMSI,MERIT MEDICAL SYSTEMS INC,0.01,0.028949,0.026908864631718765
2021-02-28,19807,VNT,VONTIER CORP,0.01,-0.031806,0.02689674296921654
2021-02-28,90248,DPZ,DOMINOS PIZZA INC,0.01,-0.06545100000000001,0.026852798294050153
2021-02-28,89258,PRU,PRUDENTIAL FINANCIAL INC,0.01,0.123529,0.026789719187220753
2021-02-28,86820,CFFN,CAPITOL FEDERAL FINANCIAL INC,0.01,0.078792,0.02654848314066034
2021-02-28,18539,HYLN,HYLIION HOLDINGS CORP,0.01,-0.08975,0.02648838146285522
2021-02-28,91413,EVR,EVERCORE INC,0.01,0.103355,0.026250377973589624
2021-02-28,14136,RNG,RINGCENTRAL INC,0.01,0.014006,0.026190344861665094
